,wetWgtPerM,percDryWgt,dryWgtPerM,densityBlades,Year.x,plotNo.x,Crosses.x,bladeLength,bladeMaxWidth,bladeThickness,stipeLength,stipeDiameter,Year.y,plotNo.y,Crosses.y,Order
2020_140,-1.298097841,-2.728795606,-0.214406044,-123.0106555,2019,2020_140,SL18-JS-5-FG1xSL18-LD-2-MG4,14.35761406,4.935966498,-0.1221572,-4.650328336,-0.313647383,2019,2020_140,SL18-JS-5-FG1xSL18-LD-2-MG4,
2019_45,-3.131501363,4.618935266,-0.215605913,NA,2019,2019_45,SL18-LD-4-FG2xSL18-LL-9-MG1,-13.22616733,5.300887706,-0.065424002,-2.182937627,0.098303964,2019,2019_45,SL18-LD-4-FG2xSL18-LL-9-MG1,
2020_143,0.598178784,-7.615299322,-0.218651102,41.23882116,2019,2020_143,SL18-CC-5-FG3xSL18-JS-5-MG2,0.408861977,1.592928429,0.150635631,-1.056617864,0.718354209,2019,2020_143,SL18-CC-5-FG3xSL18-JS-5-MG2,
2020_255,-1.8293737,1.012452353,-0.222455595,-122.3573863,2019,2020_255,SL18-CC-6-FG3xSL18-OI-14-MG2,-12.84072134,4.430529195,0.064259912,-2.522897639,-0.233297676,2019,2020_255,SL18-CC-6-FG3xSL18-OI-14-MG2,
2020_186,-1.894991386,0.375400287,-0.222818086,-3.044876629,2019,2020_186,SL18-CC-12-FG3xSL18-OI-15-MG3,31.82621696,6.359254577,0.074240943,-1.283876685,0.491827481,2019,2020_186,SL18-CC-12-FG3xSL18-OI-15-MG3,
2020_112,-1.965743477,0.752375484,-0.224364086,-94.88845832,2019,2020_112,SL18-NC-11-FG1xSL18-NL-2-MG1,20.29240057,3.749480107,-0.021993854,-4.331790317,-0.382260257,2019,2020_112,SL18-NC-11-FG1xSL18-NL-2-MG1,
2020_135,-1.71377212,-0.630234882,-0.224406464,-110.5952075,2019,2020_135,SA18-CB-9-FG1xSL18-JS-5-MG3,-18.43790617,-0.976758969,-0.081920003,-3.872164932,-0.174664634,2019,2020_135,SA18-CB-9-FG1xSL18-JS-5-MG3,
2020_144,-1.644729051,-1.350031072,-0.227098007,-102.479471,2019,2020_144,SL18-SF-13-FG1xSA18-CB-7-MG1,10.42999367,-3.63646341,-0.039654153,-2.142852385,-0.14371941,2019,2020_144,SL18-SF-13-FG1xSA18-CB-7-MG1,
2020_35,-2.208127561,0.195910909,-0.236837609,-38.82394466,2019,2020_35,SL18-OI-17-FG1xSL18-OI-4-MG1,-27.79717758,6.492986618,-0.012134322,-6.754939155,-0.001411207,2019,2020_35,SL18-OI-17-FG1xSL18-OI-4-MG1,
2020_170,-1.501316682,-1.897481696,-0.24172927,-58.7288296,2019,2020_170,SL18-NC-12-FG2xSL18-OI-16-MG1,-43.49020715,0.100731131,-0.097273241,-4.239823256,-1.444340873,2020,2020_170,SL18-NC-12-FG2xSL18-OI-16-MG1,
2020_30,-2.106550064,1.029094986,-0.242846916,NA,2019,2020_30,SL18-JS-19-FG3xSL18-OI-17-MG1,-1.210063477,4.251425052,-0.131381582,-5.427070327,-0.780585905,2019,2020_30,SL18-JS-19-FG3xSL18-OI-17-MG1,
2020_131,-1.578683806,-2.272586753,-0.244459648,-42.0755446,2019,2020_131,SL18-NC-12-FG2xSA18-CB-4-MG3,-27.2325215,-0.102553053,-0.133400624,-4.766401641,-0.936214016,2019,2020_131,SL18-NC-12-FG2xSA18-CB-4-MG3,
2020_163,-2.246574045,3.151229612,-0.24652529,-39.89711733,2019,2020_163,SL18-JS-16-FG3xSL18-OD-6-MG2,-35.03215792,-0.913258332,0.126114853,-5.865985863,-0.719864754,2019,2020_163,SL18-JS-16-FG3xSL18-OD-6-MG2,
2019_145,-3.092127828,-1.223244261,-0.256325356,-231.9911835,2019,2019_145,SL18-OI-17-FG2xSL18-SF-17-MG2,-5.228435104,1.224856348,-0.275435745,-2.203292678,0.289450083,2019,2019_145,SL18-OI-17-FG2xSL18-SF-17-MG2,
2019_12,-2.985920929,2.599078872,-0.258379922,0.298199122,2019,2019_12,SL18-LD-10-FG2xSL18-NL-3-MG2,-34.39605688,-4.101219963,-0.042327127,-7.581300626,-1.16176894,2019,2019_12,SL18-LD-10-FG2xSL18-NL-3-MG2,
