,allBLUPs_scheme,scheme,DWpM_2019,scheme,DWpM_2020,scheme,DWpM_2021,scheme,DWpM_Two,scheme,DWpM_Three
SL18-SF-17-FG2xSL18-OI-4-MG3,0,2019,0.013906205,2020,0.020260593,2021,-0.003529605,Two,0.000551096,Three,0.010950091
SA18-CB-2-FG3xSL18-JS-19-MG1,0,2019,0.017409849,2020,0.036694726,2021,-0.003785553,Two,0.04465915,Three,0.10418282
SL18-OD-5-FG3xSA18-CB-1-MG12,0,2019,0.019398167,2020,-0.067554573,2021,-0.003824107,Two,-0.076122731,Three,-0.046534457
SL18-NL-3-FG3xSA18-CB-2-MG2,0,2019,0.005565234,2020,0.036802077,2021,-0.004015484,Two,0.038980173,Three,0.029769706
SL18-NL-3-FG3xSL18-NC-9-MG2,0,2019,-0.006274032,2020,-0.060055212,2021,-0.004180206,Two,-0.055601092,Three,-0.022484903
SL18-OI-2-FG3xSL18-NL-9-MG1,0,2019,-0.094136361,2020,-0.036984702,2021,-0.004516058,Two,-0.100112435,Three,-0.085113111
SL18-LD-10-FG2xSL18-NL-3-MG2,0,2019,-0.053727922,2020,-0.063812092,2021,-0.004583762,Two,-0.081971698,Three,-0.074399596
SL18-OI-17-FG1xSL18-OI-4-MG1,0,2019,0.01043782,2020,-0.022457847,2021,-0.00493384,Two,-0.03366531,Three,-0.021222969
SL18-LD-2-FG2xSA18-CB-3-MG3,0,2019,0.009528441,2020,0.089631651,2021,-0.00522741,Two,0.097215513,Three,0.056349929
SL18-NL-10-FG1xSL18-SF-13-MG1,0,2019,0.050578142,2020,0.016503346,2021,-0.005291024,Two,0.071027992,Three,0.034882112
SL18-NL-6-FG1xSA18-CB-7-MG2,0,2019,0.171590678,2020,0.155087892,2021,-0.00529706,Two,0.26497639,Three,0.227333715
SL18-LD-4-FG1xSL18-NL-3-MG2,0,2019,-0.06959278,2020,-0.045818221,2021,-0.005328228,Two,-0.084361656,Three,-0.070133315
SL18-NL-9-FG2xSL18-SF-19-MG1,0,2019,0.007889571,2020,-0.083083657,2021,-0.006047868,Two,-0.069378604,Three,-0.063137632
SL18-CC-9-FG1xSL18-OI-18-MG1,0,2019,-0.015647144,2020,-0.034337827,2021,-0.006660496,Two,-0.031906914,Three,-0.051529844
SL18-NL-6-FG1xSL18-SF-19-MG2,0,2019,0.11136923,2020,0.027154175,2021,-0.00680836,Two,0.100359523,Three,0.076534659
SL18-NC-12-FG2xSA18-CB-4-MG3,0,2019,0.006533225,2020,-0.072179721,2021,-0.006822025,Two,-0.111285724,Three,-0.096910117
SL18-NL-7-FG4xSA18-CB-1-MG12,0,2019,0.000543963,2020,-0.070811329,2021,-0.007474827,Two,-0.083643468,Three,-0.049765329
SA18-CB-1-FG2xSL18-LD-1-MG1,0,2019,-0.017267334,2020,0.004951773,2021,-0.007873517,Two,-0.031075033,Three,-0.015501186
SL18-LD-9-FG3xSL18-SF-17-MG1,0,2019,0.023734617,2020,0.046703766,2021,-0.007880109,Two,0.037742843,Three,0.034753054
SL18-LD-3-FG2xSL18-SF-17-MG3,0,2019,-0.00103712,2020,0.051459636,2021,-0.008221713,Two,0.022405503,Three,0.022384475
SL18-NL-2-FG3xSA18-CB-4-MG1,0,2019,-0.030768475,2020,-0.067769941,2021,-0.008408226,Two,-0.084439368,Three,-0.050707262
SL18-NL-6-FG1xSL18-OI-14-MG2,0,2019,0.133259807,2020,0.030436039,2021,-0.008837181,Two,0.12236475,Three,0.088724938
SL18-LD-2-FG2xSL18-NL-9-MG1,0,2019,-0.081390356,2020,-0.072487562,2021,-0.008990994,Two,-0.111063127,Three,-0.121144692
SL18-SF-17-FG3xSA18-CB-3-MG3,0,2019,0.039212403,2020,0.14941431,2021,-0.009395988,Two,0.133583572,Three,0.112389914
SL18-LD-13-FG2xSL18-LD-13-MG2,0,2019,0.023360579,2020,-0.158123151,2021,-0.00946431,Two,-0.12173295,Three,-0.099477148
SL18-OI-18-FG6xSA18-CB-1-MG2,0,2019,0.056086609,2020,-0.014150885,2021,-0.009629477,Two,0.033331043,Three,0.023008599
SL18-NL-6-FG1xSL18-LD-3-MG2,0,2019,0.060674814,2020,0.018674399,2021,-0.009660666,Two,0.063507807,Three,0.053470525
SL18-SF-13-FG2xSL18-NC-2-MG3,0,2019,0.020849587,2020,0.161334063,2021,-0.010536326,Two,0.234491874,Three,0.090494685
SL18-OI-18-FG6xSL18-NL-6-MG1,0,2019,0.00216111,2020,-0.052934993,2021,-0.010612491,Two,-0.029472778,Three,-0.026405132
SL18-LD-4-FG3xSL18-SF-17-MG1,0,2019,0.015392098,2020,0.054541939,2021,-0.010883125,Two,0.029497741,Three,0.025736337
SL18-NC-5-FG3xSL18-OI-2-MG2,0,2019,-0.013964904,2020,-0.127700898,2021,-0.011127427,Two,-0.160851039,Three,-0.130651562
SL18-NL-2-FG3xSL18-LD-3-MG2,0,2019,-0.059106562,2020,-0.078663626,2021,-0.011359963,Two,-0.0900271,Three,-0.083338486
SL18-LD-1-FG3xSL18-NL-5-MG1,0,2019,-0.093730904,2020,-0.014200505,2021,-0.011491242,Two,-0.090428315,Three,-0.053854132
SL18-CC-8-FG2xSL18-JS-5-MG3,0,2019,-0.010962677,2020,-0.011803442,2021,-0.011656375,Two,0.014176899,Three,0.011299445
SL18-NL-10-FG1xSL18-LD-2-MG1,0,2019,-0.031280952,2020,-0.043022591,2021,-0.012024764,Two,-0.046207083,Three,-0.076526701
SL18-OI-6-FG3xSL18-JS-6-MG1,0,2019,-0.015708696,2020,0.212076161,2021,-0.012563818,Two,0.230389652,Three,0.00459781
SL18-UCONN-S142-FG1xSL18-OI-15-MG1,0,2019,0.090815265,2020,0.026864495,2021,-0.012839741,Two,0.087806729,Three,-0.011692419
SL18-SF-17-FG3xSL18-NL-9-MG1,0,2019,-0.051706345,2020,-0.012704887,2021,-0.013159572,Two,-0.074695022,Three,-0.065104672
SL18-NC-15-FG1xSL18-OD-10-MG2,0,2019,-7.32701E-05,2020,-0.011900398,2021,-0.013400691,Two,-0.006778515,Three,-0.055490602
SL18-OI-16-FG3xSL18-LD-3-MG2,0,2019,-0.011966124,2020,-0.04784534,2021,-0.013577877,Two,-0.036437556,Three,-0.056695517
SL18-LD-1-FG3xSL18-OI-16-MG1,0,2019,-0.027539725,2020,-0.105424469,2021,-0.013609184,Two,-0.125738458,Three,-0.12083259
SL18-CC-1-FG1xSL18-NC-15-MG3,0,2019,-0.006376253,2020,-0.014812919,2021,-0.013715779,Two,-0.004985102,Three,-0.05343598
SL18-LD-9-FG3xSL18-NL-7-MG1,0,2019,-0.043780454,2020,-0.040243124,2021,-0.013854371,Two,-0.061052606,Three,-0.045787883
SL18-JS-5-FG2xSL18-OI-11-MG2,0,2019,-0.019867601,2020,-0.080077549,2021,-0.013947673,Two,-0.090334328,Three,-0.078486194
SL18-SF-17-FG3xSL18-NL-10-MG2,0,2019,-0.021470431,2020,-0.010253294,2021,-0.014107403,Two,-0.046755849,Three,-0.039916051
SL18-NL-6-FG1xSL18-LD-2-MG1,0,2019,0.047380759,2020,0.013466805,2021,-0.014202745,Two,0.055977966,Three,0.010617207
SL18-LD-10-FG1xSA18-CB-1-MG2,0,2019,0.048456343,2020,0.03238955,2021,-0.014962142,Two,0.056319446,Three,0.046800682
SL18-NL-3-FG2xSL18-SF-17-MG2,0,2019,0.07318317,2020,-0.006846681,2021,-0.015151234,Two,0.034848862,Three,0.00188644
SL18-CC-5-FG3xSL18-OI-14-MG1,0,2019,0.032787886,2020,0.101669628,2021,-0.015395502,Two,0.148660363,Three,0.05708356
SL18-SF-17-FG2xSL18-NC-1-MG1,0,2019,0.006437613,2020,-0.006293664,2021,-0.015709789,Two,-0.011848878,Three,-0.026547872
SL18-LD-1-FG3xSL18-NL-9-MG2,0,2019,-0.060978686,2020,-0.031412493,2021,-0.015963891,Two,-0.08708537,Three,-0.086462247
SL18-LD-10-FG1xSL18-OI-4-MG1,0,2019,-0.010718114,2020,-0.001938367,2021,-0.016149295,Two,-0.021114361,Three,-0.027812438
SL18-NC-9-FG2xSL18-JS-11-MG3,0,2019,-0.002468333,2020,-0.109916008,2021,-0.016694793,Two,-0.12789984,Three,-0.085839177
SL18-NL-2-FG1xSL18-LD-13-MG2,0,2019,0.032180162,2020,-0.097933478,2021,-0.016840168,Two,-0.026844321,Three,-0.043746478
SL18-CC-5-FG2xSL18-NC-9-MG2,0,2019,0.00211564,2020,0.046221995,2021,-0.017009042,Two,0.070995653,Three,0.02663148
SL18-NL-10-FG3xSL18-NL-3-MG2,0,2019,-0.073773344,2020,-0.090276279,2021,-0.017412219,Two,-0.104264252,Three,-0.09378072
SL18-OI-17-FG2xSL18-SF-17-MG2,0,2019,-0.01040367,2020,0.065991425,2021,-0.017580719,Two,0.034315148,Three,-0.000171941
SL18-OI-16-FG3xSA18-CB-5-MG3,0,2019,-0.015311404,2020,-0.059868204,2021,-0.018420493,Two,-0.063854767,Three,-0.058853945
SL18-UCONN-S2-FG3xSL18-NC-2-MG3,0,2019,-0.013146599,2020,0.099843429,2021,-0.019280975,Two,0.100365263,Three,-0.000457422
SL18-NC-15-FG2xSL18-CC-2-MG6,0,2019,-0.00686573,2020,0.029605165,2021,-0.019504855,Two,0.047017153,Three,-0.127249798
SA18-CB-9-FG1xSL18-JS-19-MG1,0,2019,0.028777744,2020,0.06208272,2021,-0.019704964,Two,0.099057294,Three,0.102472845
SL18-UCONN-S157-FG3xSL18-OI-17-MG3,0,2019,0.042768066,2020,0.020347365,2021,-0.020353808,Two,0.056229186,Three,-0.20206098
SL18-NC-10-FG3xSA18-CB-3-MG2,0,2019,0.014547046,2020,-0.104074559,2021,-0.020381235,Two,-0.137510505,Three,-0.085924194
SL18-NL-3-FG1xSL18-OD-3-MG1,0,2019,-0.004790314,2020,-0.154336798,2021,-0.020519147,Two,-0.175227363,Three,-0.119728832
SL18-CC-5-FG3xSA18-CB-1-MG12,0,2019,0.02841207,2020,0.03559137,2021,-0.020703283,Two,0.061410549,Three,0.010927889
SL18-SF-17-FG2xSL18-NC-12-MG1,0,2019,0.015558942,2020,0.002703121,2021,-0.021188076,Two,0.002166762,Three,-0.028265686
SL18-SF-17-FG3xSL18-NL-2-MG3,0,2019,0.002762904,2020,-0.028497452,2021,-0.02126213,Two,-0.038177799,Three,-0.043491537
SL18-NC-8-FG1xSL18-NL-7-MG2,0,2019,-0.016172819,2020,-0.109805231,2021,-0.021665277,Two,-0.132844821,Three,-0.100869858
SL18-OI-4-FG2xSL18-NC-15-MG1,0,2019,-0.005142902,2020,0.092021117,2021,-0.021861355,Two,0.131620032,Three,0.02654008
SL18-NL-6-FG1xSL18-LD-1-MG2,0,2019,0.03274072,2020,0.02025271,2021,-0.02236745,Two,0.02974791,Three,0.025899994
SL18-JS-19-FG3xSL18-OI-7-MG2,0,2019,0.005785493,2020,-0.062898053,2021,-0.022543098,Two,-0.080238249,Three,-0.024095577
SL18-UCONN-S157-FG2xSL18-OI-17-MG3,0,2019,0.042768087,2020,0.02034747,2021,-0.022719096,Two,0.056229297,Three,-0.072230507
SL18-NL-2-FG1xSL18-SF-17-MG1,0,2019,0.05819393,2020,-0.000255005,2021,-0.022804238,Two,0.040000496,Three,0.013133038
SL18-NL-6-FG1xSL18-SF-17-MG1,0,2019,0.11302677,2020,0.050183884,2021,-0.022910015,Two,0.103573153,Three,0.077633539
SL18-LD-13-FG2xSL18-OD-3-MG1,0,2019,0.012713853,2020,-0.152778286,2021,-0.023182311,Two,-0.148042585,Three,-0.103494763
SL18-NL-6-FG1xSA18-CB-3-MG3,0,2019,0.115487274,2020,0.131220569,2021,-0.023367033,Two,0.206364024,Three,0.161798585
SL18-OI-18-FG2xSL18-NL-2-MG2,0,2019,-0.011557615,2020,-0.099197293,2021,-0.023432169,Two,-0.068125753,Three,-0.081799089
SL18-OI-4-FG2xSL18-JS-19-MG2,0,2019,-0.000256349,2020,0.014322691,2021,-0.024663253,Two,0.022972999,Three,0.016944662
SL18-NC-5-FG2xSL18-JS-11-MG3,0,2019,-0.004679261,2020,-0.164716766,2021,-0.024819157,Two,-0.196001716,Three,-0.151645948
SL18-NC-12-FG2xSA18-CB-3-MG1,0,2019,0.00317258,2020,-0.026208603,2021,-0.02501003,Two,-0.040766077,Three,-0.059854206
SL18-JS-16-FG3xSA18-CB-4-MG3,0,2019,0.015588699,2020,-0.082640701,2021,-0.025355509,Two,-0.122613645,Three,-0.075295456
SL18-CC-1-FG1xSL18-OI-16-MG3,0,2019,0.006623356,2020,-0.108231751,2021,-0.025809648,Two,-0.114394425,Three,-0.138892912
SL18-NL-2-FG1xSA18-CB-1-MG2,0,2019,0.079338407,2020,-0.022433217,2021,-0.025842237,Two,0.055300292,Three,0.027810156
SL18-CC-11-FG3xSL18-NC-2-MG3,0,2019,-0.0028399,2020,0.213067617,2021,-0.025988569,Two,0.281333474,Three,0.125562762
SL18-NC-12-FG1xSL18-NL-9-MG2,0,2019,-0.021497115,2020,-0.096873025,2021,-0.026002281,Two,-0.118346491,Three,-0.143573414
SL18-NL-6-FG1xSL18-OI-16-MG1,0,2019,0.099908738,2020,-0.095908661,2021,-0.026434724,Two,-0.006668906,Three,-0.030867696
SL18-NC-1-FG1xSL18-NC-12-MG3,0,2019,-0.004685457,2020,-0.140680584,2021,-0.026765874,Two,-0.176294742,Three,-0.163133254
SL18-CC-9-FG3xSL18-JS-9-MG3,0,2019,-0.004272726,2020,-0.128447706,2021,-0.027190533,Two,-0.164253599,Three,-0.127163024
SL18-NC-10-FG3xSL18-NL-5-MG2,0,2019,-0.043542194,2020,-0.148010034,2021,-0.027502656,Two,-0.181451156,Three,-0.153801279
SL18-OI-17-FG1xSL18-NC-2-MG3,0,2019,0.018346462,2020,0.052674598,2021,-0.027754011,Two,0.074080693,Three,-0.007696373
SL18-NL-2-FG3xSL18-OI-16-MG1,0,2019,-0.019872603,2020,-0.193246685,2021,-0.028134027,Two,-0.160203798,Three,-0.167676695
SL18-NC-1-FG1xSL18-NL-6-MG3,0,2019,0.017894787,2020,-0.08067151,2021,-0.028661356,Two,-0.07619246,Three,-0.078326037
SL18-LD-1-FG1xSL18-NL-2-MG2,0,2019,-0.07363826,2020,-0.065832309,2021,-0.029109991,Two,-0.092607268,Three,-0.103087597
SL18-OI-16-FG3xSL18-SF-17-MG2,0,2019,0.044253475,2020,-0.013057321,2021,-0.029616845,Two,0.018260876,Three,-0.030091017
SL18-OI-16-FG3xSL18-NL-6-MG1,0,2019,0.007604857,2020,-0.077298153,2021,-0.030848248,Two,-0.043876191,Three,-0.067269084
SL18-OI-17-FG4xSL18-JS-6-MG2,0,2019,-0.01116291,2020,0.2032643,2021,-0.034443294,Two,0.272075929,Three,0.099420158
SA18-CB-9-FG1xSL18-JS-5-MG3,0,2019,0.017049703,2020,0.066742903,2021,-0.034594584,Two,0.107196055,Three,0.066762993
SL18-NC-12-FG2xSL18-NL-5-MG2,0,2019,-0.038972968,2020,-0.113738302,2021,-0.037097575,Two,-0.144457288,Three,-0.163905184
SL18-CC-11-FG3xSL18-JS-16-MG1,0,2019,0.001309667,2020,0.109728755,2021,-0.037404337,Two,0.148503771,Three,0.074866931
SL18-CC-6-FG3xSL18-CC-7-MG1,0,2019,-0.011462827,2020,-0.037523586,2021,-0.038873755,Two,-0.049508632,Three,-0.152877037
SL18-NC-12-FG2xSL18-OI-16-MG1,0,2019,0.008058459,2020,-0.206651551,2021,-0.039043819,Two,-0.204457068,Three,-0.225855937
SL18-NC-10-FG1xSL18-OI-11-MG4,0,2019,-0.012207951,2020,-0.128041324,2021,-0.039154753,Two,-0.152560923,Three,-0.188503948
SL18-JS-19-FG3xSA18-CB-3-MG2,0,2019,0.025504956,2020,-0.078213904,2021,-0.039596167,Two,-0.105045826,Three,-0.068681606
SL18-JS-19-FG5xSL18-OI-4-MG1,0,2019,-0.009911764,2020,-0.090287898,2021,-0.0406491,Two,-0.121971672,Three,-0.106600401
SL18-JS-5-FG1xSL18-OI-14-MG1,0,2019,0.024989347,2020,-0.069854781,2021,-0.040805236,Two,-0.080075881,Three,-0.082416446
SL18-JS-19-FG3xSL18-LD-13-MG3,0,2019,-0.002342117,2020,-0.145725096,2021,-0.040849062,Two,-0.154712998,Three,-0.144762109
SL18-CC-5-FG2xSL18-JS-6-MG2,0,2019,-0.005999076,2020,0.212506463,2021,-0.042008071,Two,0.296031316,Three,0.069613341
SL18-JS-5-FG2xSL18-OI-5-MG3,0,2019,0.000316435,2020,-0.114109055,2021,-0.042623331,Two,-0.156326854,Three,-0.114501226
SL18-CC-5-FG2xSL18-NC-10-MG2,0,2019,0.000554961,2020,-0.013370419,2021,-0.043248813,Two,-0.009441316,Three,-0.070422937
SL18-CC-5-FG3xSL18-JS-19-MG2,0,2019,0.004824763,2020,-0.050633888,2021,-0.045813434,Two,-0.06274012,Three,-0.075091925
SL18-JS-5-FG1xSA18-CB-1-MG12,0,2019,0.020613532,2020,-0.135932967,2021,-0.046113016,Two,-0.167325587,Three,-0.128572057
SL18-NC-10-FG1xSL18-NC-5-MG1,0,2019,0.000437412,2020,-0.196102448,2021,-0.046527504,Two,-0.241792645,Three,-0.22692242
SL18-JS-9-FG3xSL18-JS-5-MG2,0,2019,-0.016774333,2020,-0.196102637,2021,-0.04681743,Two,-0.254056653,Three,-0.159340365
SL18-JS-5-FG1xSL18-LD-2-MG4,0,2019,-0.032486529,2020,-0.116809643,2021,-0.047404058,Two,-0.149789151,Three,-0.172034572
SL18-NC-11-FG1xSL18-NL-2-MG1,0,2019,-0.021813147,2020,-0.181946131,2021,-0.048676994,Two,-0.197973394,Three,-0.205303884
SL18-JS-19-FG3xSL18-OI-17-MG1,0,2019,-0.011718704,2020,-0.094568967,2021,-0.049048725,Two,-0.126700633,Three,-0.139282447
SL18-CC-5-FG3xSL18-JS-5-MG2,0,2019,-0.007436469,2020,-0.020696146,2021,-0.050198843,Two,-0.011601806,Three,-0.055291716
SL18-CC-5-FG1xSL18-JS-9-MG1,0,2019,-0.010042337,2020,-0.073155947,2021,-0.051096027,Two,-0.086017775,Three,-0.145855666
SL18-UCONN-S94-FG3xSL18-OI-17-MG3,0,2019,0.053052001,2020,0.093022649,2021,-0.052296066,Two,0.126520897,Three,-0.004231179
SL18-UCONN-S94-FG2xSL18-OI-17-MG3,0,2019,0.053052001,2020,0.093022649,2021,-0.0527152,Two,0.126520897,Three,-0.007641823
SL18-JS-5-FG2xSL18-CC-2-MG6,0,2019,-0.004349774,2020,-0.016169684,2021,-0.054772351,Two,-0.010168926,Three,-0.09537481
SL18-JS-19-FG3xSL18-LD-1-MG3,0,2019,-0.044622283,2020,-0.107074028,2021,-0.055337324,Two,-0.171409529,Three,-0.172128521
SL18-CC-5-FG3xSL18-NC-2-MG3,0,2019,0.000912746,2020,0.107734652,2021,-0.056512651,Two,0.151842444,Three,-0.021064804
SL18-NL-6-FG1xSL18-NL-2-MG1,0,2019,0.070505468,2020,-0.089245802,2021,-0.058400927,Two,-0.015930991,Three,-0.069455106
SL18-NC-12-FG2xSL18-OD-6-MG2,0,2019,-0.018154631,2020,-0.104965268,2021,-0.058602548,Two,-0.124297691,Three,-0.200545608
SL18-JS-9-FG3xSL18-NL-2-MG1,0,2019,-0.02082507,2020,-0.225727845,2021,-0.061576869,Two,-0.25572853,Three,-0.225792765
SL18-UCONN-S142-FG1xSL18-OI-17-MG3,0,2019,0.01743508,2020,0.020883843,2021,-0.062999959,Two,0.032469414,Three,-0.120809091
SL18-JS-5-FG1xSL18-JS-11-MG3,0,2019,-0.006915442,2020,-0.175895995,2021,-0.064948694,Two,-0.214658299,Three,-0.187712706
SL18-JS-5-FG1xSL18-OI-18-MG4,0,2019,0.010504053,2020,-0.144988391,2021,-0.064987871,Two,-0.162138338,Three,-0.144670033
SL18-JS-16-FG3xSL18-NC-10-MG3,0,2019,-0.004415679,2020,-0.194811004,2021,-0.070385305,Two,-0.236847671,Three,-0.206747097
SL18-JS-16-FG1xSL18-CC-4-MG11,0,2019,0.006760585,2020,-0.100635668,2021,-0.071380054,Two,-0.128170305,Three,-0.158896176
SL18-JS-16-FG1xSL18-LD-2-MG2,0,2019,-0.029179048,2020,-0.042230041,2021,-0.074768615,Two,-0.058379359,Three,-0.223095133
SL18-JS-16-FG3xSL18-JS-9-MG3,0,2019,-0.000625107,2020,-0.216076254,2021,-0.075400623,Two,-0.275465996,Three,-0.210156588
SL18-JS-6-FG2xSL18-NC-2-MG3,0,2019,-0.006164218,2020,0.118885559,2021,-0.076104522,Two,0.164548421,Three,-0.104154609
SL18-JS-16-FG3xSL18-OD-6-MG2,0,2019,-0.009099155,2020,-0.115426243,2021,-0.077136016,Two,-0.135625594,Three,-0.178930897
SL18-JS-5-FG2xSL18-CC-7-MG2,0,2019,-0.012526016,2020,-0.024442414,2021,-0.083529257,Two,-0.02887063,Three,-0.153207345
SL18-OI-17-FG4xSL18-CC-7-MG1,0,2019,-0.015628173,2020,0.139106904,2021,-0.083687739,Two,0.177829795,Three,-0.018888365
SL18-JS-5-FG1xSL18-CC-7-MG2,0,2019,-0.013990605,2020,-0.076066677,2021,-0.083818119,Two,-0.098509282,Three,-0.209322274
SL18-JS-16-FG1xSL18-CC-2-MG6,0,2019,0.010272463,2020,-0.016584778,2021,-0.085112501,Two,-0.012430133,Three,-0.156754332
SL18-JS-16-FG1xSL18-OI-18-MG3,0,2019,0.026590824,2020,-0.123452093,2021,-0.089659704,Two,-0.137471005,Three,-0.19370278
SL18-JS-16-FG1xSL18-OI-18-MG4,0,2019,0.026590884,2020,-0.093779214,2021,-0.095039167,Two,-0.09476088,Three,-0.149934657
SL18-JS-5-FG2xSL18-CC-7-MG1,0,2019,-0.015094513,2020,-0.01289958,2021,-0.119684687,Two,-0.010742874,Three,-0.15551914
SL18-JS-5-FG1xSL18-CC-7-MG1,0,2019,-0.016559102,2020,-0.064523839,2021,-0.119973581,Two,-0.080381523,Three,-0.211634101
SL18-JS-16-FG1xSL18-CC-7-MG1,0,2019,-0.000472272,2020,-0.013314671,2021,-0.150024852,Two,-0.013004078,Three,-0.216898675
