Sample ID,Name_InPheno,Name_InGeno,Chosen Reason,Plate,Location,Region,Parent
SL-CC-6-MG-2,SL18-CC-6-MG2,SL18-CC-6-MG2,Diversity,1_2,CC,GOM,SL18-CC-6
SL-LD-1-MG-1,SL18-LD-1-MG1,SL18-LD-1-MG1,Diversity,1_2,LD,GOM,SL18-LD-1
SA-CB-2-MG-1,SA18-CB-2-MG1,SA18-CB-2-MG1,Diversity,1_2,CB,GOM,SA18-CB-2
SL-LL-9-MG-3,SL18-LL-9-MG3,SL18-LL-9-MG3,Diversity,1_2,LL,GOM,SL18-LL-9
SL-SF-17-MG-2,SL18-SF-17-MG2,SL18-SF-17-MG2,Diversity,1_2,SF,GOM,SL18-SF-17
SL-FI-2-FG-12,SL18-FI-2-FG12,SL18-FI-2-FG12,Diversity,1_2,FI,SNE,SL18-FI-2
SL-LD-3-FG-3,SL18-LD-3-FG3,SL18-LD-3-FG3,Diversity,1_2,LD,GOM,SL18-LD-3
SA-CB-3-MG-2,SA18-CB-3-MG2,SA18-CB-3-MG2,Diversity,1_2,CB,GOM,SA18-CB-3
SL-CC-7-MG-2,SL18-CC-7-MG2,SL18-CC-7-MG2,Diversity,1_2,CC,GOM,SL18-CC-7
SL-LD-2-MG-1,SL18-LD-2-MG1,SL18-LD-2-MG1,Diversity,1_2,LD,GOM,SL18-LD-2
SA-CB-2-MG-2,SA18-CB-2-MG2,SA18-CB-2-MG2,Diversity,1_2,CB,GOM,SA18-CB-2
SL-FI-1-MG-2,SL18-FI-1-MG2,SL18-FI-1-MG2,Diversity,1_2,FI,SNE,SL18-FI-1
SL-SF-17-MG-3,SL18-SF-17-MG3,SL18-SF-17-MG3,Diversity,1_2,SF,GOM,SL18-SF-17
SL-JS-11-FG-4,SL18-JS-11-FG4,SL18-JS-11-FG4,Diversity,1_2,JS,GOM,SL18-JS-11
SL-LD-4-FG-3,SL18-LD-4-FG3,SL18-LD-4-FG3,Diversity,1_2,LD,GOM,SL18-LD-4
SA-CB-3-MG-3,SA18-CB-3-MG3,SA18-CB-3-MG3,Diversity,1_2,CB,GOM,SA18-CB-3
SL-FW-12-MG-10,SL18-FW-12-MG10,SL18-FW-12-MG10,Diversity,1_2,FW,SNE,SL18-FW-12
SL-LD-2-MG-2,SL18-LD-2-MG2,SL18-LD-2-MG2,Diversity,1_2,LD,GOM,SL18-LD-2
SL-BL-14-MG-1,SL18-BL-14-MG1,SL18-BL-14-MG1,Diversity,1_2,BL,SNE,SL18-BL-14
