GametophyteID,Keeper,Site,Sex,Location,# Crosses,Parent,Tray_Number_atUCONN,Total_biomass,# Clean,# Green,Generation
SL18-CC-3-FG2,UCONN,GOM,F,CC,5,SL18-CC-3,33,H,x,NA,GP
SL18-CC-5-FG2,UCONN,GOM,F,CC,5,SL18-CC-5,33,H,x,NA,GP
SL18-CC-6-FG1,UCONN,GOM,F,CC,5,SL18-CC-6,33,H,x,NA,GP
SL18-CC-6-FG3,UCONN,GOM,F,CC,5,SL18-CC-6,33,H,x,NA,GP
SL18-CC-9-FG1,UCONN,GOM,F,CC,5,SL18-CC-9,33,H,x,NA,GP
SL18-CC-12-FG3,UCONN,GOM,F,CC,5,SL18-CC-12,33,H,x,NA,GP
SA18-CB-1-MG12,UCONN,GOM,M,CB,5,SA18-CB-1,7,H,x,NA,GP
SL18-FW-21-FG2,WHOI,SNE,F,FW,2,SL18-FW-21,,M,x,NA,GP
SL18-FW-21-FG1,WHOI,SNE,F,FW,2,SL18-FW-21,,M,x,NA,GP
SL18-OD-1-MG4,WHOI,GOM,M,OD,3,SL18-OD-1,,M,x,NA,GP
SL18-UCONN-S142-MG5,WHOI,GOM,M,Farm,2,SL18-UCONN-S142,,L,x,NA,SP_GP
SL18-OD-3-FG4,WHOI,GOM,F,OD,5,SL18-OD-3,,H,x,NA,GP
SL18-OD-4-FG4,WHOI,GOM,F,OD,2,SL18-OD-4,,L,x,NA,GP
SL18-UCONN-S142-MG3,WHOI,GOM,M,Farm,3,SL18-UCONN-S142,,M,x,NA,SP_GP
SL19-LR-5-FG1,WHOI,SNE,F,LR,5,SL19-LR-5,,H,x,NA,GP
SL18-FW-21-FG4,WHOI,SNE,F,FW,5,SL18-FW-21,,H,x,NA,GP
SL18-TI-3-FG4,WHOI,SNE,F,TI,5,SL18-TI-3,,H,x,NA,GP
SL18-UCONN-S142-FG4,WHOI,GOM,F,Farm,5,SL18-UCONN-S142,,H,x,NA,SP_GP
SL18-TI-3-FG5,WHOI,SNE,F,TI,2,SL18-TI-3,,L,x,NA,GP
SL18-TI-3-FG6,WHOI,SNE,F,TI,3,SL18-TI-3,,M,x,NA,GP
SL18-UCONN-S142-FG3,WHOI,GOM,F,Farm,4,SL18-UCONN-S142,,M,x,NA,SP_GP
SL19-LR-5-FG2,WHOI,SNE,F,LR,5,SL19-LR-5,,H,x,NA,GP
SL19-LR-2-MG2,WHOI,SNE,M,LR,5,SL19-LR-2,,H,x,NA,GP
SL18-UCONN-S142-MG1,WHOI,GOM,M,Farm,5,SL18-UCONN-S142,,H,x,NA,SP_GP
SL18-OD-6-FG2,WHOI,GOM,F,OD,3,SL18-OD-6,,M,x,NA,GP
SL19-LR-2-FG1,WHOI,SNE,F,LR,5,SL19-LR-2,,H,x,NA,GP
SL18-UCONN-S142-MG4,WHOI,GOM,M,Farm,5,SL18-UCONN-S142,,H,x,NA,SP_GP
SL18-DB-6-FG1,WHOI,SNE,F,DB,5,SL18-DB-6,,H,x,NA,GP
SL18-FI-2-FG5,WHOI,SNE,F,FI,1,SL18-FI-2,,L,x,NA,GP
SL18-FW-12-MG5,WHOI,SNE,M,FW,1,SL18-FW-12,,L,x,NA,GP
SL18-FI-1-FG4,WHOI,SNE,F,FI,2,SL18-FI-1,,L,x,NA,GP
SL18-FW-12-MG6,WHOI,SNE,M,FW,2,SL18-FW-12,,L,x,NA,GP
SL18-FW-12-MG5,WHOI,SNE,M,FW,1,SL18-FW-12,,L,x,NA,GP
SL18-FI-2-FG7,WHOI,SNE,F,FI,1,SL18-FI-2,,L,x,NA,GP
SL18-FW-21-MG5,WHOI,SNE,M,FW,1,SL18-FW-21,,L,x,NA,GP
SL18-FW-12-FG4,WHOI,SNE,F,FW,1,SL18-FW-12,,L,x,NA,GP
SL18-FW-21-MG4,WHOI,SNE,M,FW,1,SL18-FW-21,,L,x,NA,GP
SL18-FI-1-FG6,WHOI,SNE,F,FI,5,SL18-FI-1,,H,x,NA,GP
SL18-OI-6-FG6,WHOI,GOM,F,OI,5,SL18-OI-6,,H,x,NA,GP
SL18-CC-4-MG4,WHOI,GOM,M,CC,5,SL18-CC-4,,H,x,NA,GP
SL18-FI-2-FG4,WHOI,SNE,F,FI,5,SL18-FI-2,,H,x,NA,GP
SL18-FI-1-FG6,WHOI,SNE,F,FI,5,SL18-FI-1,,H,x,NA,GP
SL18-LL-9-MG4,WHOI,GOM,M,LL,5,SL18-LL-9,,H,x,NA,GP
SL18-FW-2-MG4,WHOI,SNE,M,FW,5,SL18-FW-2,,H,x,NA,GP
SL18-JS-19-FG6,WHOI,GOM,F,JS,4,SL18-JS-19,,M,x,NA,GP
SL18-JS-9-MG4,WHOI,GOM,M,JS,5,SL18-JS-9,,H,x,NA,GP
