"","Indiv","Trait","Sex","Born","Breed","isCandidate","Age","Class","c0","c1","lb","oc","ub","Ne","oc_using_AshFDWpM","AshFDWpM","oc_using_DWpM","DWpM","loc","Region"
"SL18-OI-4-MG12","SL18-OI-4-MG1",-0.041681760271239,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.000000131952877935574,0.999999999320068,"Ne60",0.000000131952877935574,-0.041681760271239,0.000000131952877935574,-0.041681760271239,"OI","GOM"
"SL18-OI-11-MG22","SL18-OI-11-MG2",-0.00219161386476132,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.00328898459979687,0.999999999320068,"Ne60",0.00328898459979687,-0.00219161386476132,0.00328898459979687,-0.00219161386476132,"OI","GOM"
"SL18-OI-14-MG22","SL18-OI-14-MG2",0.0293456086064061,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.00365738971394538,0.999999999320068,"Ne60",0.00365738971394538,0.0293456086064061,0.00365738971394538,0.0293456086064061,"OI","GOM"
"SL18-OI-15-MG12","SL18-OI-15-MG1",0.0302613723009292,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.00000067923350505243,0.999999999320068,"Ne60",0.00000067923350505243,0.0302613723009292,0.00000067923350505243,0.0302613723009292,"OI","GOM"
"SL18-OI-16-MG12","SL18-OI-16-MG1",-0.0902469871591551,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.000000140922491362714,0.999999999320068,"Ne60",0.000000140922491362714,-0.0902469871591551,0.000000140922491362714,-0.0902469871591551,"OI","GOM"
"SL18-SF-17-MG12","SL18-SF-17-MG1",0.0182542086690259,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.00243039978781119,0.999999999320068,"Ne60",0.00243039978781119,0.0182542086690259,0.00243039978781119,0.0182542086690259,"SF","GOM"
"SA18-CB-7-MG22","SA18-CB-7-MG2",0.167954240227036,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.0221711863420972,0.999999999320068,"Ne60",0.0221711863420972,0.167954240227036,0.0221711863420972,0.167954240227036,"CB","GOM"
"SL18-NL-3-MG22","SL18-NL-3-MG2",-0.0629926880778491,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.000000346166707678396,0.999999999320068,"Ne60",0.000000346166707678396,-0.0629926880778491,0.000000346166707678396,-0.0629926880778491,"NL","GOM"
"SA18-CB-7-MG12","SA18-CB-7-MG1",0.145255260325081,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.000958908598380266,0.999999999320068,"Ne60",0.000958908598380266,0.145255260325081,0.000958908598380266,0.145255260325081,"CB","GOM"
"SL18-SF-19-MG12","SL18-SF-19-MG1",-0.0306241119713601,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.000000223928257835301,0.999999999320068,"Ne60",0.000000223928257835301,-0.0306241119713601,0.000000223928257835301,-0.0306241119713601,"SF","GOM"
"SL18-SF-15-MG22","SL18-SF-15-MG2",0.0116738888637432,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.000000579498164331358,0.999999999320068,"Ne60",0.000000579498164331358,0.0116738888637432,0.000000579498164331358,0.0116738888637432,"SF","GOM"
"SA18-CB-2-MG32","SA18-CB-2-MG3",0.0557136926560781,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.00000146788611129324,0.999999999320068,"Ne60",0.00000146788611129324,0.0557136926560781,0.00000146788611129324,0.0557136926560781,"CB","GOM"
"SL18-NL-5-MG12","SL18-NL-5-MG1",-0.023268518608334,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.00270311803292416,0.999999999320068,"Ne60",0.00270311803292416,-0.023268518608334,0.00270311803292416,-0.023268518608334,"NL","GOM"
"SL18-SF-15-MG12","SL18-SF-15-MG1",0.0230160867093117,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.00224546691304987,0.999999999320068,"Ne60",0.00224546691304987,0.0230160867093117,0.00224546691304987,0.0230160867093117,"SF","GOM"
"SA18-CB-4-MG32","SA18-CB-4-MG3",0.0386987433218591,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.000000114398960457924,0.999999999320068,"Ne60",0.000000114398960457924,0.0386987433218591,0.000000114398960457924,0.0386987433218591,"CB","GOM"
"SA18-CB-5-MG32","SA18-CB-5-MG3",-0.00806721773583632,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.000000157421275425187,0.999999999320068,"Ne60",0.000000157421275425187,-0.00806721773583632,0.000000157421275425187,-0.00806721773583632,"CB","GOM"
"SL18-LD-13-MG22","SL18-LD-13-MG2",-0.0386252624940279,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.00465255919064379,0.999999999320068,"Ne60",0.00465255919064379,-0.0386252624940279,0.00465255919064379,-0.0386252624940279,"LD","GOM"
"SL18-LD-3-MG22","SL18-LD-3-MG2",-0.00590878082030949,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.00382751973462475,0.999999999320068,"Ne60",0.00382751973462475,-0.00590878082030949,0.00382751973462475,-0.00590878082030949,"LD","GOM"
"SL18-NL-6-MG12","SL18-NL-6-MG1",-0.0164823318932068,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.00202449462335588,0.999999999320068,"Ne60",0.00202449462335588,-0.0164823318932068,0.00202449462335588,-0.0164823318932068,"NL","GOM"
"SL18-SF-17-MG22","SL18-SF-17-MG2",0.0206956837665866,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.00494111295679132,0.999999999320068,"Ne60",0.00494111295679132,0.0206956837665866,0.00494111295679132,0.0206956837665866,"SF","GOM"
"SL18-OI-9-MG32","SL18-OI-9-MG3",0.00938070197918976,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.00188421753775548,0.999999999320068,"Ne60",0.00188421753775548,0.00938070197918976,0.00188421753775548,0.00938070197918976,"OI","GOM"
"SL18-LD-9-MG12","SL18-LD-9-MG1",0.00186728736042794,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.00841112067030418,0.999999999320068,"Ne60",0.00841112067030418,0.00186728736042794,0.00841112067030418,0.00186728736042794,"LD","GOM"
"SL18-NL-2-MG22","SL18-NL-2-MG2",-0.0684021336612077,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.000000910665546582442,0.999999999320068,"Ne60",0.000000910665546582442,-0.0684021336612077,0.000000910665546582442,-0.0684021336612077,"NL","GOM"
"SL18-LD-2-MG32","SL18-LD-2-MG3",-0.0538078043472657,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.00000291258564480196,0.999999999320068,"Ne60",0.00000291258564480196,-0.0538078043472657,0.00000291258564480196,-0.0538078043472657,"LD","GOM"
