crossID,Order_1,Year,plotNo,Region,plotNo_Numeric,date,GrowDays,Pain2Plant,femaPar,femaParLoc,malePar,maleParLoc,Crosses,crossID,PlantingDens,development,line,position,block,PhotoScore,wetWgtPlot,lengthPlot,wetWgtPerM,percDryWgt,dryWgtPerM,densityBlades
SL18-UCONN-100,99,2019,100,GOM,100,5_31_2019,122,,SL18-NL-6-FG1,NL,SL18-OI-11-MG2,OI,SL18-NL-6-FG1xSL18-OI-11-MG2,SL18-UCONN-100,3,4,4,TBD,8,2,1.05,0.94,1.117021277,10.16,0.11,0
SL18-UCONN-101,100,2019,101,GOM,101,5_30_2019,122,,SL18-NL-6-FG1,NL,SL18-OI-14-MG2,OI,SL18-NL-6-FG1xSL18-OI-14-MG2,SL18-UCONN-101,3,4,1,TBD,2,3,5.18,0.9,5.755555556,9.18,0.48,340
SL18-UCONN-102,101,2019,102,GOM,102,5_30_2019,122,,SL18-NL-6-FG1,NL,SL18-OI-15-MG1,OI,SL18-NL-6-FG1xSL18-OI-15-MG1,SL18-UCONN-102,3,4,1,TBD,9,3,5.24,0.94,5.574468085,9,0.47,660
SL18-UCONN-103,102,2019,103,GOM,103,5_30_2019,122,,SL18-NL-6-FG1,NL,SL18-OI-16-MG1,OI,SL18-NL-6-FG1xSL18-OI-16-MG1,SL18-UCONN-103,3,4,1,TBD,5,3,3.61,0.86,4.197674419,9.49,0.34,560
SL18-UCONN-104,103,2019,104,GOM,104,5_30_2019,122,,SL18-NL-6-FG1,NL,SL18-SF-17-MG1,SF,SL18-NL-6-FG1xSL18-SF-17-MG1,SL18-UCONN-104,3,4,1,TBD,5,3,4.4,0.78,5.641025641,9.43,0.41,240
SL18-UCONN-105,104,2019,105,GOM,105,5_30_2019,122,,SL18-NL-6-FG1,NL,SL18-SF-19-MG2,SF,SL18-NL-6-FG1xSL18-SF-19-MG2,SL18-UCONN-105,3,4,1,TBD,1,3,4.75,0.95,5,5.59,0.27,620
SL18-UCONN-106,105,2019,106,GOM,106,5_31_2019,122,,SL18-NL-6-FG3,NL,SA18-CB-4-MG3,CB,SL18-NL-6-FG3xSA18-CB-4-MG3,SL18-UCONN-106,1,4,4,TBD,1,1,0.63,0.85,0.741176471,12.12,0.08,0
SL18-UCONN-107,106,2019,107,GOM,107,5_31_2019,122,,SL18-NL-6-FG3,NL,SL18-LD-10-MG3,LD,SL18-NL-6-FG3xSL18-LD-10-MG3,SL18-UCONN-107,2,1,3,TBD,9,0,0.07,1,NA,NA,NA,0
SL18-UCONN-108,107,2019,108,GOM,108,5_31_2019,122,,SL18-NL-6-FG3,NL,SL18-LD-5-MG1,LD,SL18-NL-6-FG3xSL18-LD-5-MG1,SL18-UCONN-108,1,1,3,TBD,9,0,0.07,1,NA,NA,NA,0
SL18-UCONN-109,108,2019,109,GOM,109,5_31_2019,122,,SL18-NL-6-FG3,NL,SL18-OI-18-MG1,OI,SL18-NL-6-FG3xSL18-OI-18-MG1,SL18-UCONN-109,1,1,4,TBD,5,0,0.07,1,NA,NA,NA,0
SL18-UCONN-110,109,2019,110,GOM,110,5_30_2019,122,,SL18-NL-6-FG3,NL,SL18-OI-4-MG1,OI,SL18-NL-6-FG3xSL18-OI-4-MG1,SL18-UCONN-110,1,1,1,TBD,1,0,0.09,0.87,0.103448276,10.09,0.01,0
SL18-UCONN-111,110,2019,111,GOM,111,5_31_2019,122,,SL18-NL-6-FG3,NL,SL18-OI-7-MG1,OI,SL18-NL-6-FG3xSL18-OI-7-MG1,SL18-UCONN-111,2,1,3,TBD,7,1,0.28,1,0.28,14.19,0.04,0
SL18-UCONN-112,111,2019,112,GOM,112,5_31_2019,122,,SL18-NL-6-FG3,NL,SL18-OI-9-MG3,OI,SL18-NL-6-FG3xSL18-OI-9-MG3,SL18-UCONN-112,1,1,4,TBD,1,0,0.07,1,NA,NA,NA,0
SL18-UCONN-113,112,2019,113,GOM,113,5_30_2019,122,,SL18-NL-6-FG3,NL,SL18-SF-13-MG1,SF,SL18-NL-6-FG3xSL18-SF-13-MG1,SL18-UCONN-113,2,1,3,TBD,2,1,0.18,0.83,0.21686747,14.89,0.03,40
SL18-UCONN-114,113,2019,114,GOM,114,5_30_2019,122,,SL18-NL-7-FG3,NL,SA18-CB-7-MG3,CB,SL18-NL-7-FG3xSA18-CB-7-MG3,SL18-UCONN-114,2,1,1,TBD,8,0,0.07,1,NA,NA,NA,0
SL18-UCONN-115,114,2019,115,GOM,115,5_30_2019,122,,SL18-NL-7-FG3,NL,SL18-LD-13-MG3,LD,SL18-NL-7-FG3xSL18-LD-13-MG3,SL18-UCONN-115,2,1,1,TBD,7,1,0.1,0.89,0.112359551,17.04,0.02,40
SL18-UCONN-116,115,2019,116,GOM,116,5_30_2019,122,,SL18-NL-7-FG3,NL,SL18-LD-1-MG2,LD,SL18-NL-7-FG3xSL18-LD-1-MG2,SL18-UCONN-116,2,1,3,TBD,4,1,0.07,0.85,0.082352941,3.29,0,0
SL18-UCONN-117,116,2019,117,GOM,117,5_29_2019,122,,SL18-NL-7-FG3,NL,SL18-LD-3-MG2,LD,SL18-NL-7-FG3xSL18-LD-3-MG2,SL18-UCONN-117,2,1,2,TBD,9,0,0.07,0.77,NA,NA,NA,0
SL18-UCONN-118,117,2019,118,GOM,118,5_29_2019,122,,SL18-NL-7-FG3,NL,SL18-LD-9-MG1,LD,SL18-NL-7-FG3xSL18-LD-9-MG1,SL18-UCONN-118,2,1,2,TBD,8,0,0.08,0.89,NA,NA,NA,0
SL18-UCONN-119,118,2019,119,GOM,119,5_30_2019,122,,SL18-NL-7-FG3,NL,SL18-SF-17-MG2,SF,SL18-NL-7-FG3xSL18-SF-17-MG2,SL18-UCONN-119,2,1,3,TBD,5,0,0.07,1,NA,NA,NA,0
SL18-UCONN-120,119,2019,120,GOM,120,5_31_2019,122,,SL18-NL-9-FG2,NL,SA18-CB-7-MG1,CB,SL18-NL-9-FG2xSA18-CB-7-MG1,SL18-UCONN-120,2,4,4,TBD,6,3,5.4,0.96,5.625,4.07,0.22,380
SL18-UCONN-121,120,2019,121,GOM,121,5_30_2019,122,,SL18-NL-9-FG2,NL,SL18-SF-19-MG1,SF,SL18-NL-9-FG2xSL18-SF-19-MG1,SL18-UCONN-121,2,4,3,TBD,4,3,3,0.84,3.571428571,9.25,0.28,580
SL18-UCONN-122,121,2019,122,GOM,122,5_30_2019,122,,SL18-NL-9-FG3,NL,SL18-LL-9-MG3,LL,SL18-NL-9-FG3xSL18-LL-9-MG3,SL18-UCONN-122,1,1,1,TBD,7,1,0.09,0.8,0.1125,10.71,0.01,0
SL18-UCONN-123,122,2019,123,GOM,123,5_30_2019,122,,SL18-NL-9-FG3,NL,SL18-SF-17-MG2,SF,SL18-NL-9-FG3xSL18-SF-17-MG2,SL18-UCONN-123,1,1,3,TBD,5,1,0.1,0.84,0.119047619,15.01,0.02,0
SL18-UCONN-124,123,2019,124,GOM,124,5_29_2019,122,,SL18-OI-11-FG1,OI,SL18-SF-15-MG2,SF,SL18-OI-11-FG1xSL18-SF-15-MG2,SL18-UCONN-124,2,4,2,TBD,4,3,4.17,0.96,4.34375,5.43,0.23,320
SL18-UCONN-125,124,2019,125,GOM,125,5_29_2019,122,,SL18-OI-15-FG1,OI,SA18-CB-2-MG3,CB,SL18-OI-15-FG1xSA18-CB-2-MG3,SL18-UCONN-125,1,4,2,TBD,2,3,3.76,0.67,5.611940299,9.93,0.37,0
SL18-UCONN-126,125,2019,126,GOM,126,5_30_2019,122,,SL18-OI-15-FG1,OI,SL18-LD-10-MG1,LD,SL18-OI-15-FG1xSL18-LD-10-MG1,SL18-UCONN-126,1,1,3,TBD,3,1,0.14,0.41,0.341463415,15.51,0.02,0
SL18-UCONN-127,126,2019,127,GOM,127,5_30_2019,122,,SL18-OI-15-FG1,OI,SL18-NL-5-MG1,NL,SL18-OI-15-FG1xSL18-NL-5-MG1,SL18-UCONN-127,1,4,1,TBD,8,3,1,0.74,1.351351351,9.31,0.09,200
SL18-UCONN-128,127,2019,128,GOM,128,5_30_2019,122,,SL18-OI-15-FG1,OI,SL18-SF-15-MG1,SF,SL18-OI-15-FG1xSL18-SF-15-MG1,SL18-UCONN-128,3,4,1,TBD,8,3,4.42,0.92,4.804347826,9.21,0.41,340
SL18-UCONN-129,128,2019,129,GOM,129,5_30_2019,122,,SL18-OI-16-FG1,OI,SA18-CB-4-MG1,CB,SL18-OI-16-FG1xSA18-CB-4-MG1,SL18-UCONN-129,1,1,3,TBD,4,1,0.6,0.78,0.769230769,11.32,0.07,60
SL18-UCONN-130,129,2019,130,GOM,130,5_31_2019,122,,SL18-OI-16-FG1,OI,SL18-LD-13-MG3,LD,SL18-OI-16-FG1xSL18-LD-13-MG3,SL18-UCONN-130,2,1,3,TBD,6,0,0.07,1,NA,NA,NA,0
SL18-UCONN-131,130,2019,131,GOM,131,5_30_2019,122,,SL18-OI-16-FG1,OI,SL18-LL-9-MG3,LL,SL18-OI-16-FG1xSL18-LL-9-MG3,SL18-UCONN-131,1,1,1,TBD,1,1,0.09,0.7,0.128571429,14.46,0.01,0
SL18-UCONN-132,131,2019,132,GOM,132,5_30_2019,122,,SL18-OI-16-FG1,OI,SL18-NL-2-MG1,NL,SL18-OI-16-FG1xSL18-NL-2-MG1,SL18-UCONN-132,1,1,1,TBD,3,1,0.21,0.76,0.276315789,9.11,0.02,0
SL18-UCONN-133,132,2019,133,GOM,133,5_31_2019,122,,SL18-OI-16-FG1,OI,SL18-OI-7-MG1,OI,SL18-OI-16-FG1xSL18-OI-7-MG1,SL18-UCONN-133,1,1,3,TBD,7,1,0.35,1,0.35,10.51,0.04,0
SL18-UCONN-134,133,2019,134,GOM,134,5_31_2019,122,,SL18-OI-16-FG2,OI,SA18-CB-3-MG3,CB,SL18-OI-16-FG2xSA18-CB-3-MG3,SL18-UCONN-134,1,1,3,TBD,7,1,0.07,1,NA,NA,NA,0
SL18-UCONN-135,134,2019,135,GOM,135,5_31_2019,122,,SL18-OI-16-FG2,OI,SL18-SF-19-MG2,SF,SL18-OI-16-FG2xSL18-SF-19-MG2,SL18-UCONN-135,1,1,4,TBD,7,0,0.07,1,NA,NA,NA,0
SL18-UCONN-136,135,2019,136,GOM,136,5_30_2019,122,,SL18-OI-16-FG3,OI,SA18-CB-4-MG3,CB,SL18-OI-16-FG3xSA18-CB-4-MG3,SL18-UCONN-136,2,4,3,TBD,2,3,4.84,0.81,5.975308642,8.75,0.42,480
SL18-UCONN-137,136,2019,137,GOM,137,5_30_2019,122,,SL18-OI-16-FG3,OI,SA18-CB-5-MG3,CB,SL18-OI-16-FG3xSA18-CB-5-MG3,SL18-UCONN-137,1,4,1,TBD,9,2,0.55,0.92,0.597826087,12.34,0.07,140
SL18-UCONN-138,137,2019,138,GOM,138,5_29_2019,122,,SL18-OI-16-FG3,OI,SL18-LD-10-MG3,LD,SL18-OI-16-FG3xSL18-LD-10-MG3,SL18-UCONN-138,1,1,2,TBD,2,1,0.42,0.77,0.545454545,3.18,0.01,0
SL18-UCONN-139,138,2019,139,GOM,139,5_29_2019,122,,SL18-OI-16-FG3,OI,SL18-LD-1-MG2,LD,SL18-OI-16-FG3xSL18-LD-1-MG2,SL18-UCONN-139,1,1,2,TBD,5,1,0.15,0.91,0.164835165,8.67,0.01,0
SL18-UCONN-140,139,2019,140,GOM,140,5_30_2019,122,,SL18-OI-16-FG3,OI,SL18-LD-3-MG2,LD,SL18-OI-16-FG3xSL18-LD-3-MG2,SL18-UCONN-140,1,1,1,TBD,3,3,2.27,0.96,2.364583333,8.17,0.19,200
SL18-UCONN-141,140,2019,141,GOM,141,5_31_2019,122,,SL18-OI-16-FG3,OI,SL18-NL-6-MG1,NL,SL18-OI-16-FG3xSL18-NL-6-MG1,SL18-UCONN-141,1,1,3,TBD,8,3,2.29,0.93,2.462365591,9.33,0.21,140
SL18-UCONN-142,141,2019,142,GOM,142,5_30_2019,122,,SL18-OI-16-FG3,OI,SL18-SF-17-MG2,SF,SL18-OI-16-FG3xSL18-SF-17-MG2,SL18-UCONN-142,3,4,1,TBD,2,3,3.8,0.76,5,9.06,0.34,620
SL18-UCONN-143,142,2019,143,GOM,143,5_29_2019,122,,SL18-OI-17-FG1,OI,SL18-SF-13-MG2,SF,SL18-OI-17-FG1xSL18-SF-13-MG2,SL18-UCONN-143,3,4,2,TBD,3,3,5.39,0.84,6.416666667,8,0.43,440
SL18-UCONN-145,143,2019,145,GOM,145,5_30_2019,122,,SL18-OI-17-FG2,OI,SL18-SF-17-MG2,SF,SL18-OI-17-FG2xSL18-SF-17-MG2,SL18-UCONN-145,1,1,1,TBD,2,2,0.5,0.77,0.649350649,8.31,0.04,40
SL18-UCONN-146,144,2019,146,GOM,146,5_30_2019,122,,SL18-OI-18-FG1,OI,SL18-OI-9-MG3,OI,SL18-OI-18-FG1xSL18-OI-9-MG3,SL18-UCONN-146,3,4,1,TBD,1,3,3.93,0.94,4.180851064,8.07,0.32,300
SL18-UCONN-147,145,2019,147,GOM,147,5_30_2019,122,,SL18-OI-18-FG2,OI,SA18-CB-7-MG1,CB,SL18-OI-18-FG2xSA18-CB-7-MG1,SL18-UCONN-147,2,1,2,TBD,6,3,3.34,0.97,3.443298969,9.98,0.33,160
SL18-UCONN-148,146,2019,148,GOM,148,5_31_2019,122,,SL18-OI-18-FG2,OI,SL18-LD-10-MG1,LD,SL18-OI-18-FG2xSL18-LD-10-MG1,SL18-UCONN-148,2,1,4,TBD,9,3,3.67,0.92,3.989130435,8.44,0.31,300
SL18-UCONN-149,147,2019,149,GOM,149,5_30_2019,122,,SL18-OI-18-FG2,OI,SL18-LD-9-MG1,LD,SL18-OI-18-FG2xSL18-LD-9-MG1,SL18-UCONN-149,1,1,3,TBD,1,3,2.53,0.91,2.78021978,10.89,0.28,220
SL18-UCONN-150,148,2019,150,GOM,150,5_31_2019,122,,SL18-OI-18-FG2,OI,SL18-NL-2-MG2,NL,SL18-OI-18-FG2xSL18-NL-2-MG2,SL18-UCONN-150,2,1,4,TBD,3,3,2.34,0.88,2.659090909,9.06,0.21,300
SL18-UCONN-151,149,2019,151,GOM,151,5_29_2019,122,,SL18-OI-18-FG2,OI,SL18-LD-2-MG3,SF,SL18-OI-18-FG2xSL18-LD-2-MG3,SL18-UCONN-151,1,1,2,TBD,8,2,0.83,0.82,1.012195122,9.34,0.08,80
SL18-UCONN-152,150,2019,152,GOM,152,5_30_2019,122,,SL18-OI-18-FG3,OI,SL18-LL-9-MG1,LL,SL18-OI-18-FG3xSL18-LL-9-MG1,SL18-UCONN-152,1,1,1,TBD,8,2,0.82,1,0.82,10.4,0.09,40
SL18-UCONN-153,151,2019,153,GOM,153,5_31_2019,122,,SL18-OI-18-FG3,OI,SL18-OI-7-MG1,OI,SL18-OI-18-FG3xSL18-OI-7-MG1,SL18-UCONN-153,2,4,4,TBD,1,3,2.74,0.86,3.186046512,9.67,0.26,180
SL18-UCONN-154,152,2019,154,GOM,154,5_30_2019,122,,SL18-OI-18-FG5,OI,SA18-CB-4-MG3,CB,SL18-OI-18-FG5xSA18-CB-4-MG3,SL18-UCONN-154,1,1,3,TBD,4,2,1.31,0.77,1.701298701,13.82,0.18,100
SL18-UCONN-155,153,2019,155,GOM,155,5_31_2019,122,,SL18-OI-18-FG5,OI,SL18-LD-2-MG1,LD,SL18-OI-18-FG5xSL18-LD-2-MG1,SL18-UCONN-155,2,1,3,TBD,6,3,3.02,0.98,3.081632653,9.23,0.28,280
SL18-UCONN-156,154,2019,156,GOM,156,5_31_2019,122,,SL18-OI-18-FG5,OI,SL18-NL-7-MG1,NL,SL18-OI-18-FG5xSL18-NL-7-MG1,SL18-UCONN-156,2,1,3,TBD,7,1,0.47,0.67,0.701492537,10.73,0.05,0
SL18-UCONN-157,155,2019,157,GOM,157,5_31_2019,122,,SL18-OI-18-FG5,OI,SL18-SF-15-MG2,SF,SL18-OI-18-FG5xSL18-SF-15-MG2,SL18-UCONN-157,2,4,3,TBD,9,3,4.94,0.92,5.369565217,10.32,0.51,220
SL18-UCONN-158,156,2019,158,GOM,158,5_30_2019,122,,SL18-OI-18-FG6,OI,SA18-CB-1-MG2,CB,SL18-OI-18-FG6xSA18-CB-1-MG2,SL18-UCONN-158,2,1,1,TBD,6,3,3.65,0.87,4.195402299,7.39,0.27,280
SL18-UCONN-159,157,2019,159,GOM,159,5_31_2019,122,,SL18-OI-18-FG6,OI,SL18-NL-6-MG1,NL,SL18-OI-18-FG6xSL18-NL-6-MG1,SL18-UCONN-159,2,1,3,TBD,8,3,1.43,0.86,1.662790698,9.73,0.14,240
SL18-UCONN-160,158,2019,160,GOM,160,5_29_2019,122,,SL18-OI-18-FG6,OI,SL18-SF-17-MG1,SF,SL18-OI-18-FG6xSL18-SF-17-MG1,SL18-UCONN-160,1,1,2,TBD,2,1,0.75,0.82,0.914634146,9.61,0.07,100
SL18-UCONN-161,159,2019,161,GOM,161,5_31_2019,122,,SL18-OI-2-FG2,OI,SA18-CB-7-MG2,CB,SL18-OI-2-FG2xSA18-CB-7-MG2,SL18-UCONN-161,1,1,3,TBD,6,1,0.07,0.8,0.0875,9.31,0.01,0
SL18-UCONN-162,160,2019,162,GOM,162,5_30_2019,122,,SL18-OI-2-FG2,OI,SL18-LD-1-MG2,LD,SL18-OI-2-FG2xSL18-LD-1-MG2,SL18-UCONN-162,2,1,2,TBD,5,2,1.02,0.9,1.133333333,10.03,0.1,20
SL18-UCONN-163,161,2019,163,GOM,163,5_30_2019,122,,SL18-OI-2-FG2,OI,SL18-LD-2-MG1,LD,SL18-OI-2-FG2xSL18-LD-2-MG1,SL18-UCONN-163,2,1,1,TBD,5,1,0.22,0.695,0.316546763,12.29,0.03,0
SL18-UCONN-164,162,2019,164,GOM,164,5_30_2019,122,,SL18-OI-2-FG2,OI,SL18-LL-9-MG3,LL,SL18-OI-2-FG2xSL18-LL-9-MG3,SL18-UCONN-164,1,1,1,TBD,5,1,0.12,0.8,0.15,13.69,0.02,20
SL18-UCONN-165,163,2019,165,GOM,165,5_30_2019,122,,SL18-OI-2-FG2,OI,SL18-NL-3-MG2,NL,SL18-OI-2-FG2xSL18-NL-3-MG2,SL18-UCONN-165,1,1,1,TBD,9,0,0.07,1,NA,NA,NA,0
SL18-UCONN-166,164,2019,166,GOM,166,5_29_2019,122,,SL18-OI-2-FG2,OI,SL18-SF-17-MG2,SF,SL18-OI-2-FG2xSL18-SF-17-MG2,SL18-UCONN-166,2,1,2,TBD,1,1,0.13,0.89,0.146067416,9.05,0.01,0
SL18-UCONN-167,165,2019,167,GOM,167,5_29_2019,122,,SL18-OI-2-FG3,OI,SA18-CB-4-MG1,CB,SL18-OI-2-FG3xSA18-CB-4-MG1,SL18-UCONN-167,1,1,2,TBD,9,1,0.57,0.93,0.612903226,13.27,0.08,220
SL18-UCONN-168,166,2019,168,GOM,168,5_29_2019,122,,SL18-OI-2-FG3,OI,SL18-LD-10-MG1,LD,SL18-OI-2-FG3xSL18-LD-10-MG1,SL18-UCONN-168,1,1,2,TBD,4,1,0.12,0.81,0.148148148,13.47,0.02,0
SL18-UCONN-169,167,2019,169,GOM,169,5_29_2019,122,,SL18-OI-2-FG3,OI,SL18-NL-2-MG2,NL,SL18-OI-2-FG3xSL18-NL-2-MG2,SL18-UCONN-169,2,1,2,TBD,4,1,0.42,0.82,0.512195122,13.28,0.06,200
SL18-UCONN-170,168,2019,170,GOM,170,5_29_2019,122,,SL18-OI-2-FG3,OI,SL18-NL-9-MG1,NL,SL18-OI-2-FG3xSL18-NL-9-MG1,SL18-UCONN-170,2,1,2,TBD,8,2,0.67,0.78,0.858974359,12.18,0.08,160
SL18-UCONN-171,169,2019,171,GOM,171,5_29_2019,122,,SL18-OI-2-FG3,OI,SL18-SF-15-MG1,SF,SL18-OI-2-FG3xSL18-SF-15-MG1,SL18-UCONN-171,1,1,2,TBD,7,1,0.2,0.75,NA,NA,NA,0
SL18-UCONN-172,170,2019,172,GOM,172,5_31_2019,122,,SL18-OI-2-FG3,OI,SL18-SF-17-MG1,SF,SL18-OI-2-FG3xSL18-SF-17-MG1,SL18-UCONN-172,2,1,4,TBD,2,3,1.74,0.92,1.891304348,9.64,0.17,0
SL18-UCONN-173,171,2019,173,GOM,173,5_31_2019,122,,SL18-OI-4-FG3,OI,SL18-SF-17-MG1,SF,SL18-OI-4-FG3xSL18-SF-17-MG1,SL18-UCONN-173,1,1,3,TBD,9,1,0.25,0.79,0.316455696,10.01,0.03,0
SL18-UCONN-174,172,2019,174,GOM,174,5_30_2019,122,,SL18-OI-6-FG1,OI,SA18-CB-2-MG1,CB,SL18-OI-6-FG1xSA18-CB-2-MG1,SL18-UCONN-174,2,1,1,TBD,4,2,0.57,1,0.57,12.82,0.07,60
SL18-UCONN-175,173,2019,175,GOM,175,5_30_2019,122,,SL18-OI-6-FG1,OI,SA18-CB-4-MG1,CB,SL18-OI-6-FG1xSA18-CB-4-MG1,SL18-UCONN-175,2,4,1,TBD,4,3,2.75,0.91,3.021978022,6.92,0.19,180
SL18-UCONN-176,174,2019,176,GOM,176,5_29_2019,122,,SL18-OI-6-FG1,OI,SL18-LD-13-MG2,LD,SL18-OI-6-FG1xSL18-LD-13-MG2,SL18-UCONN-176,1,1,2,TBD,3,2,1.58,0.65,2.430769231,9.9,0.16,180
SL18-UCONN-177,175,2019,177,GOM,177,5_31_2019,122,,SL18-OI-6-FG1,OI,SL18-LD-2-MG1,LD,SL18-OI-6-FG1xSL18-LD-2-MG1,SL18-UCONN-177,2,1,4,TBD,1,3,2.36,0.88,2.681818182,9.83,0.23,160
SL18-UCONN-178,176,2019,178,GOM,178,5_31_2019,122,,SL18-OI-6-FG1,OI,SL18-LD-5-MG1,LD,SL18-OI-6-FG1xSL18-LD-5-MG1,SL18-UCONN-178,2,1,3,TBD,9,3,3.76,0.97,3.87628866,4.29,0.16,260
SL18-UCONN-179,177,2019,179,GOM,179,5_31_2019,122,,SL18-OI-6-FG1,OI,SL18-NL-2-MG1,NL,SL18-OI-6-FG1xSL18-NL-2-MG1,SL18-UCONN-179,1,1,4,TBD,5,0,0.07,1,NA,NA,NA,0
SL18-UCONN-180,178,2019,180,GOM,180,5_31_2019,122,,SL18-OI-6-FG1,OI,SL18-NL-9-MG1,NL,SL18-OI-6-FG1xSL18-NL-9-MG1,SL18-UCONN-180,1,1,4,TBD,2,2,1.73,0.76,2.276315789,10.87,0.19,120
SL18-UCONN-181,179,2019,181,GOM,181,5_31_2019,122,,SL18-OI-6-FG1,OI,SL18-SF-15-MG1,SF,SL18-OI-6-FG1xSL18-SF-15-MG1,SL18-UCONN-181,2,1,4,TBD,3,3,2.67,0.82,3.256097561,8.81,0.24,220
SL18-UCONN-182,180,2019,182,GOM,182,5_31_2019,122,,SL18-OI-6-FG1,OI,SL18-SF-19-MG1,SF,SL18-OI-6-FG1xSL18-SF-19-MG1,SL18-UCONN-182,2,1,4,TBD,2,3,1.47,0.84,1.75,8.22,0.12,80
SL18-UCONN-183,181,2019,183,GOM,183,5_30_2019,122,,SL18-OI-7-FG3,OI,SA18-CB-2-MG3,CB,SL18-OI-7-FG3xSA18-CB-2-MG3,SL18-UCONN-183,2,1,3,TBD,5,3,1.67,0.75,2.226666667,9.71,0.16,260
SL18-UCONN-184,182,2019,184,GOM,184,5_31_2019,122,,SL18-OI-7-FG3,OI,SL18-LD-9-MG1,LD,SL18-OI-7-FG3xSL18-LD-9-MG1,SL18-UCONN-184,2,1,4,TBD,4,1,0.2,0.84,0.238095238,12.84,0.03,0
SL18-UCONN-185,183,2019,185,GOM,185,5_29_2019,122,,SL18-OI-7-FG3,OI,SL18-NL-3-MG2,NL,SL18-OI-7-FG3xSL18-NL-3-MG2,SL18-UCONN-185,2,1,2,TBD,1,0,0.07,0.93,0.075268817,12.44,0.01,80
SL18-UCONN-186,184,2019,186,GOM,186,5_29_2019,122,,SL18-OI-9-FG1,OI,SL18-LL-9-MG2,LL,SL18-OI-9-FG1xSL18-LL-9-MG2,SL18-UCONN-186,2,1,2,TBD,9,3,2,0.85,2.352941176,8.49,0.17,300
SL18-UCONN-187,185,2019,187,GOM,187,5_30_2019,122,,SL18-OI-9-FG1,OI,SL18-OI-9-MG3,OI,SL18-OI-9-FG1xSL18-OI-9-MG3,SL18-UCONN-187,1,1,1,TBD,6,1,0.44,0.83,0.530120482,10,0.04,160
SL18-UCONN-188,186,2019,188,GOM,188,5_30_2019,122,,SL18-SF-13-FG1,SF,SL18-LD-3-MG2,LD,SL18-SF-13-FG1xSL18-LD-3-MG2,SL18-UCONN-188,1,1,3,TBD,4,1,0.12,1,0.12,12.51,0.02,0
SL18-UCONN-189,187,2019,189,GOM,189,5_30_2019,122,,SL18-SF-13-FG1,SF,SL18-LL-9-MG3,LL,SL18-SF-13-FG1xSL18-LL-9-MG3,SL18-UCONN-189,2,4,3,TBD,4,3,2.04,0.93,2.193548387,12.02,0.25,80
SL18-UCONN-190,188,2019,190,GOM,190,5_30_2019,122,,SL18-SF-17-FG1,SF,SL18-LL-9-MG1,LL,SL18-SF-17-FG1xSL18-LL-9-MG1,SL18-UCONN-190,2,1,1,TBD,9,2,1.01,0.91,1.10989011,10.27,0.1,80
SL18-UCONN-191,189,2019,191,GOM,191,5_30_2019,122,,SL18-SF-17-FG1,SF,SL18-SF-17-MG2,SF,SL18-SF-17-FG1xSL18-SF-17-MG2,SL18-UCONN-191,2,1,1,TBD,6,1,0.1,0.855,0.116959064,10.84,0.01,0
SL18-UCONN-192,190,2019,192,GOM,192,5_30_2019,122,,SL18-SF-17-FG3,SF,SA18-CB-10-MG1,CB,SL18-SF-17-FG3xSA18-CB-10-MG1,SL18-UCONN-192,2,4,1,TBD,1,3,4.25,0.9,4.722222222,7.46,0.32,420
SL18-UCONN-193,191,2019,193,GOM,193,5_30_2019,122,,SL18-SF-17-FG3,SF,SA18-CB-3-MG3,CB,SL18-SF-17-FG3xSA18-CB-3-MG3,SL18-UCONN-193,2,4,1,TBD,4,3,1.97,0.83,2.373493976,8.83,0.17,20
SL18-UCONN-194,192,2019,194,GOM,194,5_31_2019,122,,SL18-SF-17-FG3,SF,SL18-LD-2-MG1,LD,SL18-SF-17-FG3xSL18-LD-2-MG1,SL18-UCONN-194,2,1,4,TBD,6,2,1.59,0.92,1.72826087,9.29,0.15,240
SL18-UCONN-195,193,2019,195,GOM,195,5_30_2019,122,,SL18-SF-17-FG3,SF,SL18-NL-10-MG2,NL,SL18-SF-17-FG3xSL18-NL-10-MG2,SL18-UCONN-195,3,1,1,TBD,8,2,0.55,0.95,0.578947368,10.99,0.06,160
SL18-UCONN-196,194,2019,196,GOM,196,5_31_2019,122,,SL18-SF-17-FG3,SF,SL18-NL-2-MG3,NL,SL18-SF-17-FG3xSL18-NL-2-MG3,SL18-UCONN-196,3,4,4,TBD,4,3,2.64,0.81,3.259259259,8.47,0.22,0
SL18-UCONN-197,195,2019,197,GOM,197,5_31_2019,122,,SL18-SF-17-FG3,SF,SL18-NL-9-MG1,NL,SL18-SF-17-FG3xSL18-NL-9-MG1,SL18-UCONN-197,3,1,4,TBD,9,3,2.75,0.89,3.08988764,8.55,0.24,260
SL18-UCONN-198,196,2019,198,GOM,198,5_29_2019,122,,SL18-SF-17-FG3,SF,SL18-OI-7-MG1,OI,SL18-SF-17-FG3xSL18-OI-7-MG1,SL18-UCONN-198,3,1,2,TBD,9,3,2.8,0.81,3.456790123,8.35,0.23,500
SL18-UCONN-199,197,2019,199,GOM,199,5_29_2019,122,,SL18-SF-17-FG3,SF,SL18-OI-9-MG3,OI,SL18-SF-17-FG3xSL18-OI-9-MG3,SL18-UCONN-199,3,1,2,TBD,9,3,2.88,0.8,3.6,9.16,0.26,380
