"","V1","V2"
"428","SL18-NL-6-FG1xSL18-NL-2-MG1","CrossesSL18-NC-10-FG3xSL18-NL-5-MG2"
"429","SL18-OI-11-FG3xSL18-CC-1-MG3","CrossesSL18-NC-11-FG1xSL18-NL-2-MG1"
"430","SL18-JS-16-FG3xSL18-NC-10-MG3","CrossesSL18-NC-12-FG2xSA18-CB-3-MG1"
"431","SL18-OI-5-FG5xSA18-CB-7-MG3","CrossesSL18-NC-12-FG2xSA18-CB-4-MG3"
"432","SL18-CC-1-FG2xSL18-OI-16-MG1","CrossesSL18-NC-12-FG2xSL18-NL-5-MG2"
"433","SL18-NC-11-FG1xSL18-NL-2-MG1","CrossesSL18-NC-12-FG2xSL18-OI-16-MG1"
"434","SL18-CC-5-FG2xSA18-CB-10-MG1","CrossesSL18-NC-15-FG3xSL18-CC-1-MG2"
"435","SL18-CC-5-FG3xSL18-OI-14-MG1","CrossesSL18-NC-5-FG2xSL18-JS-11-MG3"
"436","SL18-CC-11-FG3xSL18-CC-3-MG1","CrossesSL18-NC-5-FG3xSL18-OI-2-MG2"
"437","SL18-CC-11-FG3xSA18-CB-3-MG3","CrossesSL18-NC-8-FG1xSL18-NL-7-MG2"
"438","SL18-JS-16-FG1xSL18-CC-4-MG11","CrossesSL18-NC-9-FG2xSL18-JS-11-MG3"
"439","SL18-CC-11-FG3xSL18-JS-16-MG1","CrossesSL18-NL-10-FG1xSA18-CB-4-MG3"
"440","SL18-NC-12-FG2xSA18-CB-4-MG3","CrossesSL18-NL-10-FG1xSL18-LD-2-MG1"
"441","SL18-OD-5-FG1xSL18-CC-8-MG2","CrossesSL18-NL-10-FG1xSL18-OI-15-MG1"
"442","SL18-CC-1-FG3xSL18-OI-9-MG2","CrossesSL18-NL-10-FG1xSL18-OI-7-MG1"
"443","SA18-CB-9-FG1xSL18-JS-5-MG3","CrossesSL18-NL-10-FG1xSL18-SF-13-MG1"
"444","SL18-CC-5-FG1xSL18-JS-9-MG1","CrossesSL18-NL-10-FG3xSL18-NL-3-MG2"
"445","SL18-CC-12-FG3xSL18-OI-15-MG2","CrossesSL18-NL-2-FG1xSA18-CB-1-MG2"
"446","SL18-SF-17-FG2xSL18-NC-1-MG1","CrossesSL18-NL-2-FG1xSL18-LD-13-MG2"
"447","SL18-JS-5-FG1xSL18-LD-2-MG4","CrossesSL18-NL-2-FG1xSL18-SF-17-MG1"
"448","SL18-OD-5-FG3xSA18-CB-1-MG12","CrossesSL18-NL-2-FG3xSA18-CB-2-MG3"
"449","SL18-CC-5-FG3xSL18-JS-5-MG2","CrossesSL18-NL-2-FG3xSA18-CB-4-MG1"
"450","SL18-SF-13-FG1xSA18-CB-7-MG1","CrossesSL18-NL-2-FG3xSL18-LD-3-MG2"
"451","SL18-LL-9-FG6xSA18-CB-10-MG3","CrossesSL18-NL-2-FG3xSL18-OI-16-MG1"
"452","SL18-OI-15-FG2xSA18-CB-2-MG3","CrossesSL18-NL-3-FG1xSA18-CB-7-MG2"
