"","pedigree","gpSex","WWP","DWpM","PDW","BDns","BLen","BMax","BThk","SLen","SDia"
"SA18-CB-2-FG3","SA18-CB-2-FG3","F",0.388307203020032,0.101143577850892,-0.0318527174825423,-11.6892823167983,-0.337414417529825,-0.144330108138606,-0.00481303819595212,-0.38027938187149,0.116221538880706
"SL18-NL-2-FG3","SL18-NL-2-FG3","F",-0.511234932382426,-0.16240762215174,-0.0722652807263556,-57.8986315268155,0.202313030877227,-0.0395430665335896,-0.653152109769458,0.3409074247235,-0.379588697993763
"SA18-CB-5-FG4","SA18-CB-5-FG4","F",0.0168437624865052,-0.00335628662428178,0.33206737302767,-63.7053889596464,-0.738868710687336,0.117188537027356,0.187578134742661,0.250069256549588,-0.52364756171107
"SL18-CC-3-FG1","SL18-CC-3-FG1","F",0.258110997849987,0.0954330119167098,0.289820893582219,-4.72550484263969,-0.31467705130661,-0.0377261763575244,0.377771529405405,0.303281286164461,-0.0389006021799826
"SL18-NC-10-FG1","SL18-NC-10-FG1","F",-0.617727033558468,-0.201554734156681,-1.15212299445757,-35.7736427007245,0.167151133037057,-0.062849891022457,0.38706480509923,0.231227368776874,0.133335704494112
"SL18-OI-17-FG4","SL18-OI-17-FG4","F",0.448090674715602,0.145088701919221,-0.230710882947602,17.2724020761009,0.351700645740641,0.0693562143447453,-0.0279230536865901,-0.471392276798046,0.318008263326382
"SL18-CC-3-FG2","SL18-CC-3-FG2","F",0.415943311704207,0.168581642303835,0.391265182256758,35.7011193260071,-0.0783353105308264,0.0701974660514802,0.958599766815134,-0.00570905414074688,0.514552490916283
"SL18-CC-1-FG1","SL18-CC-1-FG1","F",0.116982806866919,0.0124372304488832,0.301115903751108,85.4205864877089,0.392712695468611,-0.140374778082279,0.860502872121391,0.111049326719893,0.535890783998961
"SL18-OI-4-FG2","SL18-OI-4-FG2","F",0.387365923805697,0.159608503116838,0.694344608679541,111.148279102325,0.20533695862469,-0.131791189040883,-0.288105650635136,-0.0837606920786482,0.0608943965368741
"SL18-CC-8-FG2","SL18-CC-8-FG2","F",0.0821241598623716,0.0271112748869989,-0.558033089416781,14.7533737467826,0.0304715102023924,-0.116670341544714,0.542262005869142,-0.139870064532024,0.930666214424272
"SL18-OI-6-FG2","SL18-OI-6-FG2","F",0.783823225341271,0.33585505478795,2.0607445160807,61.7572645494297,-0.353274094060289,-0.042898633740203,0.853988865476635,0.345308548614775,0.950588958841086
"SL18-LD-2-FG2","SL18-LD-2-FG2","F",-0.151668993191668,-0.0374364162442261,-0.196172576689555,-44.2370085357646,0.392253819647852,0.0413111051690333,0.143098844864123,0.211566500250857,-0.261279903016127
"SL18-CC-12-FG2","SL18-CC-12-FG2","F",0.864554697015076,0.261869478492914,-0.215100991318065,101.35641007344,-0.301021040616489,-0.0734821790017006,0.444558395978518,-0.333717913849595,0.730311061188831
"SL18-NC-10-FG3","SL18-NC-10-FG3","F",-0.466012471135711,-0.184090625666703,-2.60954261253468,-20.1619287476539,0.144547325942349,-0.167088553335383,0.327383068196228,0.525738045836418,0.165841176481954
"SL18-NL-3-FG3","SL18-NL-3-FG3","F",0.0575255657363323,-0.0318333562385824,-0.749963236207186,-23.2894801669245,-0.345507410630105,-0.0618256721350346,0.0780805248468195,-0.452482836238085,0.414220525026156
"SL18-OI-6-FG3","SL18-OI-6-FG3","F",0.460720714700065,0.222246315890725,3.73543377112222,44.2309601435922,-0.511137112377555,-0.0943226907785793,0.550326620917276,0.696571524437597,1.07181048250364
"SL18-CC-8-FG1","SL18-CC-8-FG1","F",-0.450290776404949,-0.15850857367456,-0.446280335294505,-27.9842519318461,-0.170477640638917,-0.305422205422829,0.422589537059571,0.391848872354998,0.411151413701469
"SL18-CC-9-FG3","SL18-CC-9-FG3","F",-0.0522435953956897,-0.0105842438425266,-0.111854364723716,3.66840671646423,0.135544580877758,0.104150619348588,-0.215533329788928,0.329029749825885,0.244181574739507
"SL18-NC-9-FG2","SL18-NC-9-FG2","F",-0.198186857022159,-0.0761257827407782,0.713594786320546,-10.4528247898133,-0.495352080687399,-0.253980866651939,0.246602489791314,0.539862006544766,0.0715224532486028
"SL18-LD-9-FG4","SL18-LD-9-FG4","F",0.0922788296494269,0.000658484439363055,-0.438062412837289,47.6215758666645,0.0120124543253081,0.239949060804813,-0.494445577653361,-0.399412607686814,-0.265450169999929
"SL18-OI-9-FG4","SL18-OI-9-FG4","F",-0.0606588288467526,0.00269199433928224,0.798913852339298,-2.02237322545268,0.174870445390782,-0.34911677757017,0.378840683663735,0.123599321232421,0.344535960760558
