"","pedigree","index","WWP","DWpM","PDW","BDns","BLen","BMax","BThk","SLen","SDia"
"SL18-NL-3-FG1xSA18-CB-7-MG2","SL18-NL-3-FG1xSA18-CB-7-MG2",0.0500733304330096,0.0978267649410594,0.046828560697529,-0.0435837909620484,29.2922596613179,-0.0039298709315067,0.164939961655505,0.0320505732203609,0.426543025797856,0.290684854410011
"SL18-NL-3-FG1xSL18-OI-11-MG2","SL18-NL-3-FG1xSL18-OI-11-MG2",-0.20102519976145,-0.180368680011171,-0.0694640481463811,-0.0620971034686879,-14.3207258375437,-0.0268046791617461,0.120224237739619,-0.103780673169802,0.442509351276759,0.169752286446076
"SL18-NL-3-FG1xSL18-SF-13-MG2","SL18-NL-3-FG1xSL18-SF-13-MG2",-0.0988742973359372,-0.0412781477196436,-0.026029115751758,-0.0468160658324212,4.97502792132409,0.0294800506800079,-0.1194463218754,-0.0868284727424314,0.103091852808778,0.519862614471881
"SL18-NL-3-FG2xSL18-SF-17-MG2","SL18-NL-3-FG2xSL18-SF-17-MG2",-0.125137033640485,0.240650371419078,0.0270478397102634,-0.179232713061012,42.0597897473098,-0.0211989786284704,0.0537800356155473,0.218542261562416,-0.0501308166595894,0.343097109771868
"SL18-NL-3-FG3xSA18-CB-2-MG2","SL18-NL-3-FG3xSA18-CB-2-MG2",-0.0677840973693519,0.072709573393191,0.00671348236005684,-0.0812110620894656,-12.8857515423034,-0.0699447517141584,-0.0802503910522726,-0.126554626338996,0.0755017219948558,0.132215742638946
"SL18-LD-10-FG1xSL18-OI-18-MG1","SL18-LD-10-FG1xSL18-OI-18-MG1",0.125156616878148,-0.294937999103147,-0.0576777508397697,0.240512118557687,-45.7220643891807,0.0693365281561293,0.229897478604698,0.458355096507248,0.179360983373329,0.341664646543389
"SL18-NL-6-FG1xSA18-CB-3-MG3","SL18-NL-6-FG1xSA18-CB-3-MG3",-0.202812802132647,0.522697527355944,0.116452862694375,-0.435718527521397,154.305186361777,0.0534581919563752,0.177085278314656,0.0369747850933013,-0.0471642592747147,0.33310248883617
"SL18-NL-6-FG1xSA18-CB-7-MG2","SL18-NL-6-FG1xSA18-CB-7-MG2",0.197940656756721,0.589158885975954,0.182386907722769,-0.166833158688817,144.601029343656,-0.00152413139833329,0.167048844555506,0.0915589308043899,0.278097230042176,0.431951297510422
"SL18-NL-6-FG1xSL18-LD-1-MG2","SL18-NL-6-FG1xSL18-LD-1-MG2",-0.120071652533417,0.0485299961354523,-0.00126089934364021,-0.117549853846137,88.428954921798,-0.0755068045892369,-0.110892958615406,0.134054230924107,0.160865536928821,0.346923430130138
"SL18-NL-6-FG1xSL18-LD-2-MG1","SL18-NL-6-FG1xSL18-LD-2-MG1",0.0441013619159446,0.137085354714057,0.0349646089173359,-0.0258278559187271,85.0334643672659,-0.046506366404601,0.0259322773810862,0.090869721461458,0.246866376566734,0.452790733326605
"SL18-NL-6-FG1xSL18-LD-3-MG2","SL18-NL-6-FG1xSL18-LD-3-MG2",-0.112041556480502,0.22934740777564,0.0322480261113196,-0.176537608703141,98.5617098545305,0.0935736074437849,-0.0505535349252987,0.326555894725718,0.231590447151729,0.168478942672351
"SL18-NL-6-FG1xSL18-NL-2-MG1","SL18-NL-6-FG1xSL18-NL-2-MG1",-0.267714005304984,0.119562830760897,-0.00460894566147654,-0.25849611398203,95.9726756845097,-0.12423458923192,-0.0163657030464844,0.820380390218719,0.12835170071607,0.768145130423301
"SL18-OI-11-FG3xSL18-CC-1-MG3","SL18-OI-11-FG3xSL18-CC-1-MG3",0.329944326011404,0.529856088060975,0.167235985380523,-0.00452764474964217,8.37642835027279,-0.355762031869361,-0.178828255679641,0.0875403847531505,0.515656592619185,-0.0540622959764132
"SL18-JS-16-FG3xSL18-NC-10-MG3","SL18-JS-16-FG3xSL18-NC-10-MG3",-0.657213558049689,-0.366007476265309,-0.17311970823426,-0.310974141581168,-23.1327381963314,0.0416450250276598,-0.151502184304363,-0.0732735735711941,0.0509962347697669,-0.0456723622686139
"SL18-OI-5-FG5xSA18-CB-7-MG3","SL18-OI-5-FG5xSA18-CB-7-MG3",0.24989132163124,-0.0435287908028874,0.0352983612272292,0.179294599176782,11.087991529588,0.082851120041386,-0.0579340574475177,-0.351926594036412,-0.0980672181452363,-0.264578321062216
"SL18-CC-1-FG2xSL18-OI-16-MG1","SL18-CC-1-FG2xSL18-OI-16-MG1",-0.048287839448683,-0.105707856651218,-0.067336319168443,0.086384798888203,17.3461723113332,-0.433634871098455,-0.268153487893376,0.138197206389147,-0.108246155480865,0.303213589825527
"SL18-NC-11-FG1xSL18-NL-2-MG1","SL18-NC-11-FG1xSL18-NL-2-MG1",-0.292091795289322,-0.309136006073618,-0.122306678877228,-0.0474784375348668,-16.4522109558842,-0.205461688005372,-0.0903061250163062,0.389714621596144,-0.354636923976612,0.533039606942347
"SL18-CC-5-FG2xSA18-CB-10-MG1","SL18-CC-5-FG2xSA18-CB-10-MG1",0.240395888142824,0.502021475884173,0.185242221530978,-0.130088554919131,6.5541618032794,-0.0130081818703821,0.154048856319776,-0.344070500192255,0.0440361835745525,-0.487009567344986
"SL18-CC-5-FG3xSL18-OI-14-MG1","SL18-CC-5-FG3xSL18-OI-14-MG1",0.0358370280418981,0.377692803746503,0.102955483997336,-0.170073939952775,-23.949454028128,0.00547983571926771,0.332068343937863,-0.468006637163552,0.33531615798016,-0.69156898288828
"SL18-CC-11-FG3xSL18-CC-3-MG1","SL18-CC-11-FG3xSL18-CC-3-MG1",0.247838607603212,0.446517363961613,0.1581927782751,-0.0685469489469886,49.9224423063153,0.195474494162684,-0.0709820319460408,-0.111289547949145,-0.54441577716553,-0.142755482053849
"SL18-CC-11-FG3xSA18-CB-3-MG3","SL18-CC-11-FG3xSA18-CB-3-MG3",0.12177542681308,0.722110682656204,0.21624273337935,-0.310710039945621,101.975564005952,0.149464000727479,0.230371088636713,-0.356558760907056,-0.440005294188046,-0.498944839070669
"SL18-JS-16-FG1xSL18-CC-4-MG11","SL18-JS-16-FG1xSL18-CC-4-MG11",-0.236367909155188,-0.282602614662525,-0.102545498165309,-0.0312769128245699,-18.3182433447739,0.152621043279692,0.070897415025045,0.0277390817697525,0.230470920183274,-0.120327610136153
"SL18-CC-11-FG3xSL18-JS-16-MG1","SL18-CC-11-FG3xSL18-JS-16-MG1",0.0984789358450912,0.448494107479123,0.11368484894525,-0.128890762045409,41.8913446962826,0.124086705124652,-0.0884748280090959,-0.176812510622214,-0.223262732810736,-0.449956154902187
"SL18-NC-12-FG2xSA18-CB-4-MG3","SL18-NC-12-FG2xSA18-CB-4-MG3",-0.307425555772913,-0.0463771022455052,-0.0644306435813845,-0.178564268610144,-19.0766792504862,0.14056582942989,-0.201331868293713,-0.241985684809538,-0.16780619407283,-0.218718540463084
"SL18-OD-5-FG1xSL18-CC-8-MG2","SL18-OD-5-FG1xSL18-CC-8-MG2",-0.225405729627261,-0.257535649053239,-0.0837254505527061,-0.0579548285218489,0.895916242996727,0.155259385291076,-0.103847464631382,-0.276852236240904,-0.490616050185075,-0.651824274410883
"SL18-CC-1-FG3xSL18-OI-9-MG2","SL18-CC-1-FG3xSL18-OI-9-MG2",-0.0213211190987926,-0.207261333890101,-0.0509902339772648,0.0806593488557369,9.9495049657822,0.101393622929554,0.206126125943253,-0.303886197648062,0.154709028347523,-0.277638285943961
"SA18-CB-9-FG1xSL18-JS-5-MG3","SA18-CB-9-FG1xSL18-JS-5-MG3",0.207234430726984,0.28616079320177,0.105665837987029,-0.00409724524707464,-14.6725141290786,0.18680512030018,0.188574045851315,-0.228898801205799,-0.322847847212039,-0.528040149289872
