"","crossID","Order_1","Year","plotNo","Region","plotNo_Numeric","date","GrowDays","Pain2Plant","femaPar","femaParLoc","malePar","maleParLoc","Crosses","crossID.1","PlantingDens","development","line","position","block","PhotoScore","wetWgtPlot","lengthPlot","wetWgtPerM","percDryWgt","dryWgtPerM","densityBlades","popChk","withinLoc","isSelf"
"242","SL19-UCONN-S137",242,"2020","S137","GOM","137","6_9_2020","185",NA,"SL18-CC-5-FG1","CC","SL18-JS-9-MG1","JS","SL18-CC-5-FG1xSL18-JS-9-MG1","SL19-UCONN-S137",1,1,"3",NA,"4",2,0.39,0.915,0.42,9.14,0.038572756,20,"ES","0","0"
"243","SL19-UCONN-S138",243,"2020","S138","GOM","138","6_9_2020","185",NA,"SL18-OI-15-FG1","OI","SA18-CB-2-MG3","CB","SL18-OI-15-FG1xSA18-CB-2-MG3","SL19-UCONN-S138",2,1,"3",NA,"4",2,0.77,0.94,0.82,8.7,0.071632259,80,"ES","0","0"
"244","SL19-UCONN-S139",244,"2020","S139","GOM","139","6_9_2020","185",NA,"SL18-CC-12-FG3","CC","SL18-OI-15-MG2","OI","SL18-CC-12-FG3xSL18-OI-15-MG2","SL19-UCONN-S139",3,1,"3",NA,"5",3,4.37,0.953,4.59,12.35,0.566752741,190,"ES","0","0"
"245","SL19-UCONN-S14",245,"2020","S14","GOM","14","6_9_2020","185",NA,"SL18-SF-17-FG2","SF","SL18-NC-1-MG1","NC","SL18-SF-17-FG2xSL18-NC-1-MG1","SL19-UCONN-S14",2,1,"1",NA,"3",2,1.51,1,1.51,12.39,0.187129708,90,"ES","0","0"
"246","SL19-UCONN-S140",246,"2020","S140","GOM","140","6_9_2020","185",NA,"SL18-JS-5-FG1","JS","SL18-LD-2-MG4","LD","SL18-JS-5-FG1xSL18-LD-2-MG4","SL19-UCONN-S140",1,1,"3",NA,"5",2,1.68,0.955,1.76,9.19,0.161994864,30,"ES","0","0"
"247","SL19-UCONN-S141",247,"2020","S141","GOM","141","6_9_2020","185",NA,"SL18-OD-5-FG3","OD","SA18-CB-1-MG12","CB","SL18-OD-5-FG3xSA18-CB-1-MG12","SL19-UCONN-S141",3,1,"3",NA,"5",3,1.05,1.03,1.02,10.96,0.111509655,110,"ES","0","0"
"249","SL19-UCONN-S143",249,"2020","S143","GOM","143","6_9_2020","185",NA,"SL18-CC-5-FG3","CC","SL18-JS-5-MG2","JS","SL18-CC-5-FG3xSL18-JS-5-MG2","SL19-UCONN-S143",3,1,"3",NA,"5",3,3.8,1.05,3.62,4.37,0.157828887,190,"ES","0","0"
"250","SL19-UCONN-S144",250,"2020","S144","GOM","144","6_9_2020","185",NA,"SL18-SF-13-FG1","SF","SA18-CB-7-MG1","CB","SL18-SF-13-FG1xSA18-CB-7-MG1","SL19-UCONN-S144",2,1,"3",NA,"5",2,1.49,1.049,1.42,10.55,0.149539341,50,"ES","0","0"
"251","SL19-UCONN-S145",251,"2020","S145","GOM","145","6_9_2020","185",NA,"SL18-LL-9-FG6","LL","SA18-CB-10-MG3","CB","SL18-LL-9-FG6xSA18-CB-10-MG3","SL19-UCONN-S145",2,1,"3",NA,"6",2,0.22,0.93,0.24,10.14,0.02452874,240,"ES","0","0"
"252","SL19-UCONN-S146",252,"2020","S146","GOM","146","6_9_2020","185",NA,"SL18-OI-15-FG2","OI","SA18-CB-2-MG3","CB","SL18-OI-15-FG2xSA18-CB-2-MG3","SL19-UCONN-S146",3,1,"3",NA,"6",3,4.16,0.91,4.57,13.33,0.608846704,190,"ES","0","0"
